epoch,train_loss,val_macro_f1_fp32,epoch_time_s
1,1.0231990074043844,0.5440916945504792,2909.0253157080006
2,0.556197118047458,0.5765466622925666,3380.3103056249965
3,0.5019498910476913,0.6421107415352245,4529.057601082997
4,0.4767081644997668,0.6783231869001066,3101.7903075829963
5,0.45524342095673975,0.6890286906560511,2676.1374163750006
6,0.4378413869373834,0.6991688057731421,2583.1843818339985
7,0.42008257054570897,0.7075013518304172,2563.560712583989
8,0.4026241928783815,0.7001587786339618,2343.108141375007
9,0.3858909493062034,0.6982062418197054,2361.284122291996
10,0.36952305124766793,0.7064074839928287,2916.172185791016
11,0.35028722962336756,0.7145722181342145,2392.675791249989
12,0.3351878607451026,0.710692708652386,2416.997382333997
13,0.3206123921408582,0.7144342650882669,2389.867715792003
14,0.3095114636777052,0.7079823661541511,2259.5406117500097
15,0.29620343108675373,0.7092984676076883,2393.672692458
