,Benign,BruteForce,DDoS,DoS,Mirai,Recon,Spoofing,Web
Benign,497,38,0,0,0,79,5,43
BruteForce,40,113,0,0,0,31,5,25
DDoS,0,0,2995,688,2,0,1,1
DoS,0,0,517,1280,3,0,0,0
Mirai,0,0,4,1,1019,0,2,0
Recon,107,28,0,0,0,321,10,61
Spoofing,35,11,0,0,0,14,362,19
Web,39,26,0,0,0,44,6,100
