model,class,precision,recall,f1,support
distilbert,Benign,0.692200557103064,0.7507552870090635,0.7202898550724638,662.0
distilbert,BruteForce,0.5231481481481481,0.5280373831775701,0.5255813953488372,214.0
distilbert,DDoS,0.8518202502844141,0.8123135340385137,0.8315979453005692,3687.0
distilbert,DoS,0.6500761808024378,0.7111111111111111,0.6792252586893075,1800.0
distilbert,Mirai,0.9951171875,0.99317738791423,0.9941463414634146,1026.0
distilbert,Recon,0.656441717791411,0.6091081593927894,0.6318897637795275,527.0
distilbert,Spoofing,0.9258312020460358,0.8208616780045351,0.8701923076923077,441.0
distilbert,Web,0.40160642570281124,0.46511627906976744,0.43103448275862066,215.0
distilbert,_accuracy,,,0.7800979934671022,
distilbert,_macro_avg,0.7120302086722903,0.7113101024646975,0.710494668763131,
distilbert,_weighted_avg,0.7865796572595001,0.7800979934671022,0.7824825788573565,
distilbert,_roc_auc_macro_ovr,,,0.9705176826816662,
distilbert,_train_time_s,,,41221.76254337499,
distilbert,_diagnostic_infer_ms_per_sample,,,14.600394005713836,
distilbert,_diagnostic_infer_ms_per_sample_bs1,,,14.32743395504076,
distilbert,_model_size_mb,,,268.563831,
