epoch,train_loss,val_macro_f1_fp32,epoch_time_s
1,1.0424794666802706,0.5379786779768758,2842.8128850830253
2,0.5677567211549673,0.5748196531290155,2295.5610640000086
3,0.5105130779209421,0.6400138985112127,2127.734553166025
4,0.478582763671875,0.662203597566106,2108.9547766249743
5,0.4564917265479244,0.6932859585995186,2079.70098866598
6,0.43676284106809704,0.7109333777518321,2071.3965432500117
7,0.41841599193971546,0.7131361971980155,2070.645420292043
8,0.4003388817630597,0.7173363466934249,2079.7973640830023
9,0.38321729062208487,0.7087023749622928,2078.8390553329955
10,0.3647421537940182,0.7140182127851139,2087.747418416955
11,0.34562872132258626,0.707613856841739,2054.3251797080156
12,0.3290759641732742,0.707993620844164,2036.0586212089984
