model,class,precision,recall,f1,support
distilbert,Benign,0.7203007518796992,0.7235649546827795,0.7219291635267521,662.0
distilbert,BruteForce,0.6691729323308271,0.4158878504672897,0.5129682997118156,214.0
distilbert,DDoS,0.8351707448238774,0.8424193110930296,0.8387793680799351,3687.0
distilbert,DoS,0.6694963214487832,0.6572222222222223,0.6633024950939165,1800.0
distilbert,Mirai,0.9980449657869013,0.9951267056530214,0.9965836993655441,1026.0
distilbert,Recon,0.6196013289036545,0.7077798861480076,0.6607617360496014,527.0
distilbert,Spoofing,0.8886255924170616,0.8503401360544217,0.8690614136732329,441.0
distilbert,Web,0.37344398340248963,0.4186046511627907,0.39473684210526316,215.0
distilbert,_accuracy,,,0.783481101259916,
distilbert,_macro_avg,0.7217320776241617,0.7013682146854454,0.7072653772007576,
distilbert,_weighted_avg,0.7847769946282839,0.783481101259916,0.7831377926507845,
distilbert,_roc_auc_macro_ovr,,,0.970913976918389,
distilbert,_train_time_s,,,25936.78677616705,
distilbert,_diagnostic_infer_ms_per_sample,,,13.796653999529317,
distilbert,_diagnostic_infer_ms_per_sample_bs1,,,13.408482295053545,
distilbert,_model_size_mb,,,268.563831,
