class,feature,signed_mean,abs_mean,rank
Benign,ttl,0.15688236961783938,0.1832854174614719,1
Benign,https,0.1299511924327817,0.1379315390465005,2
Benign,dns,0.10769353697445089,0.11264505323585278,3
Benign,max,-0.013682140980381518,0.05663533769353914,4
Benign,rate,0.016346812158856968,0.04604924741155022,5
Benign,psh,0.015810376682262966,0.037401602214413285,6
Benign,min,0.004705084595601269,0.035489379721911976,7
Benign,avg,-0.02110345653624487,0.02992133496676009,8
Benign,proto_num,0.017143769730076506,0.02856217035150621,9
Benign,ack,0.014499989117670491,0.02634232018787088,10
Benign,tot_size,-0.009958217895109556,0.022192541685823623,11
Benign,var,-0.0033128308852610642,0.021753125095225794,12
Benign,header_len,-0.001204268879700976,0.021121215662121055,13
Benign,tot_sum,-0.013367920677410439,0.020921359884475046,14
Benign,num,0.01774723965257484,0.02003687184381609,15
Benign,std,-0.01187372870578353,0.01790122086677002,16
Benign,syn,0.006994147837076525,0.017703034272396206,17
Benign,iat,-0.004699258016626118,0.014167605042894138,18
Benign,ack_cnt,0.005646671240053062,0.013722960045318663,19
Benign,fin,0.0016352401744370582,0.012870528921606212,20
Benign,rst,0.00349496237540734,0.01015067743282998,21
Benign,http,-0.0009654948965665729,0.008761124942005457,22
Benign,ece,-0.004042574841908693,0.008262598463109802,23
Benign,fin_cnt,-0.00302015342207748,0.00822001698583487,24
Benign,rst_cnt,-0.004835670223837951,0.008167981885829552,25
Benign,ipv,-0.005395156823412132,0.007883609838290794,26
Benign,igmp,-0.0033005983795495316,0.007453121536552014,27
Benign,llc,-0.003966063555041425,0.0068599176061373635,28
Benign,cwr,-0.0010764917826842672,0.006770778467519752,29
Benign,icmp,-0.003258989625821111,0.006323201047666771,30
Benign,syn_cnt,-0.0008868597687320327,0.005893812441773605,31
Benign,udp,-0.0031573457057068786,0.005836270904971267,32
Benign,arp,-0.0033785236243905575,0.005526008548016156,33
Benign,tcp,-0.0018955698382190653,0.005348622308535293,34
Benign,dhcp,-0.00308943439529988,0.005212070293464421,35
Benign,telnet,-0.00048081757284611134,0.004503455465646766,36
Benign,ssh,-0.00010633381663562128,0.004152963764545348,37
Benign,smtp,-0.0003194855705866454,0.00405487702443376,38
Benign,irc,-0.0017444561897718813,0.003965027172186334,39
BruteForce,max,0.12647517149146364,0.13720368336065,1
BruteForce,irc,0.08368312954615992,0.08658690663631655,2
BruteForce,ssh,0.06181988078042782,0.07060826441574458,3
BruteForce,min,0.060796502851180094,0.06341789674229159,4
BruteForce,num,0.04826752995941988,0.04826752995941988,5
BruteForce,avg,0.0433158074197064,0.04671767957086715,6
BruteForce,https,-0.0038285299271729432,0.034281174131930096,7
BruteForce,ttl,0.013734280071671932,0.0336407598869134,8
BruteForce,dns,0.0036414663547710063,0.030734966576640165,9
BruteForce,rst_cnt,0.029720007177499893,0.030319392770310986,10
BruteForce,rate,0.006922609584283344,0.029039480236812083,11
BruteForce,tot_sum,0.015123996633275221,0.027511148182775384,12
BruteForce,http,0.022342213902682546,0.02637823919204855,13
BruteForce,psh,0.016686527416959997,0.02522956399276467,14
BruteForce,tot_size,0.017039848318804177,0.023970101819804277,15
BruteForce,ack_cnt,0.021499559765190926,0.02221822379512452,16
BruteForce,std,0.018755230582594592,0.021939824097439328,17
BruteForce,var,0.012177167907519947,0.018543239040437944,18
BruteForce,iat,0.0072032930917777524,0.01771658274435228,19
BruteForce,header_len,0.009418135902187812,0.017222570230597905,20
BruteForce,ack,0.001954305928838264,0.016468086381870327,21
BruteForce,fin_cnt,0.011288683347209038,0.01599637748621453,22
BruteForce,syn_cnt,0.008990944810061446,0.015408821095417063,23
BruteForce,syn,0.004827894005043212,0.014899015968342522,24
BruteForce,proto_num,0.002716473512547416,0.013601503769071618,25
BruteForce,rst,0.007063951616811376,0.010584698659518072,26
BruteForce,fin,0.0009231018439193146,0.010153994094223654,27
BruteForce,ipv,0.007997054077800042,0.00990920019228392,28
BruteForce,telnet,0.00922640769352657,0.009725350584161671,29
BruteForce,tcp,0.006312864081044081,0.009211092100476204,30
BruteForce,llc,0.005435119303705682,0.008215140778056887,31
BruteForce,udp,0.006250939452041176,0.007996013490605212,32
BruteForce,igmp,0.005615211931252552,0.007834997090075405,33
BruteForce,smtp,0.006832379974116276,0.007596813363786061,34
BruteForce,arp,0.005911047228828563,0.007123305852385989,35
BruteForce,icmp,0.005074277465473153,0.006619628052161011,36
BruteForce,ece,0.0024177270850056524,0.006251799537905401,37
BruteForce,dhcp,0.004601664007334689,0.005959604868210943,38
BruteForce,cwr,0.0030441208126371407,0.004897326332025176,39
DDoS,proto_num,0.15942645219911356,0.17719239909686924,1
DDoS,syn_cnt,0.04749217492111105,0.08319177436399817,2
DDoS,fin,0.060078788639778696,0.07134973134585985,3
DDoS,psh,0.03280413059449832,0.06171995741169667,4
DDoS,iat,0.012719792780747715,0.06093236250186843,5
DDoS,tot_sum,-0.003205376968253404,0.049014539634420845,6
DDoS,rate,-0.011570830220928958,0.04474231109561515,7
DDoS,num,0.0251292015920626,0.03609398748036862,8
DDoS,var,0.015200851142943369,0.03200386656128558,9
DDoS,tot_size,-0.017531187947194365,0.029579374004363976,10
DDoS,ack,0.0029772484172402376,0.02781343152619229,11
DDoS,avg,-0.01707567287570176,0.027001490282903735,12
DDoS,std,-0.019485149983180843,0.026858007448511974,13
DDoS,ttl,-0.0064915619256377495,0.023945228440121962,14
DDoS,max,-0.0043570541351073185,0.02304448869241848,15
DDoS,fin_cnt,-0.006261709100969407,0.020270654823616497,16
DDoS,ack_cnt,-0.007621869317517849,0.016938434231997236,17
DDoS,min,-0.0031621045968980373,0.015985438898254264,18
DDoS,syn,0.004556449850855415,0.01578974165191577,19
DDoS,header_len,0.01123963617010304,0.015473266276421782,20
DDoS,dns,-0.007483255318402371,0.014820419708545767,21
DDoS,rst_cnt,-0.007604620368753482,0.014779381778256113,22
DDoS,telnet,-0.007525947646142109,0.011243070416852182,23
DDoS,http,-0.007053347441615188,0.010709082574248897,24
DDoS,https,0.004448749595151943,0.009568816176761174,25
DDoS,rst,-0.0030473945444100536,0.009284756955942915,26
DDoS,cwr,-0.0013991023612713132,0.00889223764485602,27
DDoS,igmp,0.0019212107586402756,0.007116544014328004,28
DDoS,smtp,-0.003309573440249854,0.00650321665549806,29
DDoS,ipv,0.001677384924596481,0.006225746964431286,30
DDoS,ece,-0.0018352979394876457,0.00617403646456296,31
DDoS,llc,-0.00135017794915863,0.005423760658353179,32
DDoS,tcp,0.0019407117324287053,0.004824472869616633,33
DDoS,udp,0.0012869872000010219,0.004641089838454112,34
DDoS,icmp,0.0005199522263069411,0.004625896000004559,35
DDoS,irc,0.00200988948857533,0.004487260668868961,36
DDoS,dhcp,0.0010961066875400623,0.004183695166375401,37
DDoS,arp,0.000533071656688359,0.00390386375908444,38
DDoS,ssh,0.0008525019107916402,0.003652165575219139,39
DoS,rate,0.051671412008969735,0.06909923688702596,1
DoS,iat,0.04617479239968816,0.06376708029371608,2
DoS,proto_num,0.03677759247608871,0.06053539942513453,3
DoS,max,0.037174476954714916,0.053303293714452596,4
DoS,syn_cnt,0.027675621047092137,0.046037484726305894,5
DoS,tot_sum,0.02845874497749416,0.044672472778135366,6
DoS,tot_size,0.0008154593970781814,0.04305653511740578,7
DoS,num,0.014573243603323741,0.040013577420904764,8
DoS,avg,0.0022703566843119915,0.03388889566049329,9
DoS,ack_cnt,0.018542935594450683,0.03312772696372122,10
DoS,dns,0.019578433425097803,0.032664417071646315,11
DoS,header_len,0.007537764663751053,0.02726083692417281,12
DoS,std,0.002889410501423602,0.027129696905224893,13
DoS,fin_cnt,0.011227809974297998,0.026290012687362228,14
DoS,psh,0.01543267763699987,0.02576633460436521,15
DoS,var,0.015889061401018503,0.025452451985681062,16
DoS,https,0.015763592648969885,0.025310804684462104,17
DoS,ttl,0.01406698922958943,0.024486745474496273,18
DoS,telnet,0.0054987584826449165,0.023068655181001912,19
DoS,min,-0.01022126652484682,0.022917979081103112,20
DoS,rst_cnt,0.009278926519133772,0.020179310464300215,21
DoS,cwr,0.013636195750586921,0.019865162866335596,22
DoS,ack,-0.003200599367846735,0.01922838199243415,23
DoS,fin,0.003355541654188225,0.01636337505248472,24
DoS,syn,0.009626778756819476,0.015324479650659365,25
DoS,igmp,-0.003259003080211187,0.01403934514314642,26
DoS,rst,0.005317151162785194,0.013965802185225584,27
DoS,http,0.004545937764426829,0.013755079479415145,28
DoS,ece,-0.001942980779191809,0.013664217986721875,29
DoS,icmp,-0.008097677645127987,0.013583138708539385,30
DoS,udp,-0.005985116328550551,0.012357229607459885,31
DoS,tcp,-0.004657338951801648,0.011526030974588744,32
DoS,llc,0.002219852906334078,0.01151001421900825,33
DoS,smtp,0.003065554627653455,0.011405483878945688,34
DoS,ipv,0.004332552196077207,0.011116321569655458,35
DoS,dhcp,-0.004164709557153401,0.009200801802580826,36
DoS,irc,-0.003074316711960516,0.009031263723348578,37
DoS,arp,-0.005730617760006377,0.008536082449306074,38
DoS,ssh,-0.0005066797200318736,0.007498845072890011,39
Mirai,proto_num,0.677518929541111,0.677518929541111,1
Mirai,max,0.011827024056159038,0.018266987446744074,2
Mirai,tot_sum,0.009128654487661455,0.016549620003388554,3
Mirai,ack_cnt,-0.011910372399142943,0.015217116089964596,4
Mirai,ttl,-0.004635026167913263,0.013950133375328733,5
Mirai,dns,-0.005206965397519525,0.011144208720846411,6
Mirai,tot_size,-0.005074418805694828,0.011097112445471187,7
Mirai,iat,-0.004083050419285428,0.011058282918626598,8
Mirai,syn_cnt,-0.006091654506568981,0.010895747796863968,9
Mirai,psh,-0.0075255573551563275,0.010726372401990147,10
Mirai,fin_cnt,-0.006681494143898211,0.010383109053994607,11
Mirai,ack,-0.008354238478811263,0.010242231888575285,12
Mirai,https,-0.00937809975851754,0.01005488690546675,13
Mirai,cwr,-0.009564136460297353,0.009939846759516513,14
Mirai,rst,-0.009192462251909698,0.009615869274906192,15
Mirai,rst_cnt,-0.005464995821421325,0.009197564591704576,16
Mirai,ece,-0.008867601917684927,0.009034715460241689,17
Mirai,rate,-0.002951303467489197,0.009017329067501124,18
Mirai,telnet,-0.0014628182560803302,0.008108542629406657,19
Mirai,ssh,-0.008004817788848111,0.008077734494630324,20
Mirai,avg,-0.004306761056326044,0.007981897968405368,21
Mirai,fin,-0.006814583907786679,0.007343282734655077,22
Mirai,header_len,-0.0062696687970856145,0.007277099943469996,23
Mirai,irc,-0.006598875913671994,0.006721719816656938,24
Mirai,icmp,-0.005014497189646742,0.006292525282575904,25
Mirai,smtp,-0.00506520360140712,0.006263700313623607,26
Mirai,udp,-0.005314139610739706,0.0061516820067784765,27
Mirai,var,-0.00486290400319073,0.005968519409361761,28
Mirai,min,-0.00018447365104776737,0.005753855432389798,29
Mirai,num,-0.005376841821066592,0.0055869866916433844,30
Mirai,tcp,-0.0052468901323057555,0.005478333031593744,31
Mirai,http,-0.003813161519065034,0.005430300022029163,32
Mirai,arp,-0.0047323323074503305,0.0053944099461584,33
Mirai,igmp,-0.0037887772396061337,0.005186123912547676,34
Mirai,syn,-0.004581685551723543,0.005112959426332964,35
Mirai,dhcp,-0.004630541418979798,0.005030517768803596,36
Mirai,ipv,-0.0031436337184762428,0.00441173080301572,37
Mirai,llc,-0.00212355058004808,0.004294824890045372,38
Mirai,std,-0.0033685553379200427,0.0042231884141529005,39
Recon,min,0.1016014491096333,0.10761974762863247,1
Recon,max,0.02226078070816584,0.07132986619253642,2
Recon,https,0.03913703421882626,0.056075344610386914,3
Recon,fin_cnt,0.04277761884926198,0.04656090019464803,4
Recon,syn_cnt,0.040742475526834215,0.04552545675445193,5
Recon,rst_cnt,0.037914255903888264,0.04363801290237461,6
Recon,tot_sum,-0.0027536667046661025,0.03974545098826639,7
Recon,http,0.018306127691873068,0.03973310728788419,8
Recon,dns,0.011408231400567577,0.03687753828518604,9
Recon,num,0.034289560657149804,0.03567221269477159,10
Recon,avg,-0.00628514994920503,0.03562206304025797,11
Recon,ttl,0.009720144637685734,0.03478250189170164,12
Recon,tot_size,0.0015352975482528564,0.02943465265974131,13
Recon,fin,0.016425614954156724,0.02754545470549298,14
Recon,iat,-0.01204644712100465,0.02723674133909905,15
Recon,rate,-0.0028421174187315047,0.026551600211496405,16
Recon,syn,0.011020300012508718,0.025384187455832336,17
Recon,proto_num,0.00771213512690944,0.02526729024434644,18
Recon,var,0.012066714127255788,0.02292045349698431,19
Recon,header_len,0.012480820030956845,0.021663505001394395,20
Recon,std,0.0037007796093045425,0.020699071787142507,21
Recon,psh,0.007749467812148699,0.018862035359779837,22
Recon,ack,0.0026413883448791844,0.018565272436777983,23
Recon,rst,0.005175903256773987,0.01748255077218346,24
Recon,ack_cnt,0.011110613595034617,0.016329175500626056,25
Recon,telnet,0.007434978322203278,0.009948744072175941,26
Recon,llc,0.0045226744045976375,0.009220569557298101,27
Recon,udp,0.003503470683305447,0.008878920226561605,28
Recon,ssh,0.004733115875690904,0.008606300119208755,29
Recon,igmp,0.0030151939420041646,0.00826344371086331,30
Recon,tcp,0.0037464961884021855,0.008237998114873335,31
Recon,ipv,0.002906021746912302,0.00799378035077704,32
Recon,ece,-0.0005378446010581683,0.007565703218521473,33
Recon,smtp,0.004598699144873801,0.007243347037857006,34
Recon,cwr,0.0031305415027115184,0.0068958231737876,35
Recon,arp,0.0033525981792384605,0.006797059785215728,36
Recon,icmp,0.0036413762866383576,0.006667392508097692,37
Recon,irc,0.00344491422304903,0.006335190593260146,38
Recon,dhcp,0.003627471918783461,0.0062215432054169165,39
Spoofing,max,0.22877858017285083,0.23339712067172513,1
Spoofing,min,0.1389990565787836,0.14530322690710212,2
Spoofing,num,0.0912880070740357,0.09138631643727421,3
Spoofing,dns,0.04748253008789713,0.04938740050117,4
Spoofing,proto_num,0.03752449384616436,0.04569234073351254,5
Spoofing,https,0.03646630581885499,0.040334452626120766,6
Spoofing,tot_sum,0.02747343328488417,0.03614210950441551,7
Spoofing,ttl,0.006541727866351721,0.0289972375487802,8
Spoofing,tot_size,0.016780941807155614,0.023747236671503438,9
Spoofing,avg,0.02003375789608981,0.023138861721599825,10
Spoofing,iat,0.016699818407262985,0.021204778477355527,11
Spoofing,psh,0.009770717685751152,0.020462636458008394,12
Spoofing,ack_cnt,0.016330402642173187,0.019888985183570185,13
Spoofing,header_len,0.014243649116663922,0.017384104331601216,14
Spoofing,rate,0.0021915065519048462,0.01663600254096309,15
Spoofing,std,0.012796236172827472,0.016406852740760768,16
Spoofing,ipv,0.014365013131803177,0.016137795391816805,17
Spoofing,ack,0.0027908261057215593,0.015029193021329471,18
Spoofing,var,0.010074908086365516,0.014852095079428787,19
Spoofing,igmp,0.013339021549230286,0.01437841461180748,20
Spoofing,rst_cnt,0.004172193995873386,0.008570327022547038,21
Spoofing,syn_cnt,0.004927864458159093,0.008558102068112325,22
Spoofing,fin,0.001412172523987465,0.008491376415789394,23
Spoofing,telnet,0.0066221358496477475,0.008302271162331938,24
Spoofing,fin_cnt,0.003561059395800233,0.007342807342820379,25
Spoofing,http,0.004031218017007632,0.005992720601170731,26
Spoofing,udp,0.004036667815080363,0.005458917133561651,27
Spoofing,ece,0.0033848002677738503,0.005429125715803214,28
Spoofing,cwr,0.00380616748874066,0.005418757114906233,29
Spoofing,tcp,0.002574048828237589,0.005322076437693113,30
Spoofing,rst,0.0024954975323983795,0.005171334653482518,31
Spoofing,ssh,0.0018982267294480456,0.005030200659424129,32
Spoofing,smtp,0.002735581634726714,0.004957760593617877,33
Spoofing,syn,-0.0013449174294692056,0.00490811709675351,34
Spoofing,arp,0.0027253702207341727,0.00489070608542382,35
Spoofing,llc,0.003275372044890901,0.00436646502835174,36
Spoofing,icmp,0.002731732424369208,0.004347622308190088,37
Spoofing,irc,0.0018704107627854683,0.003951809486291798,38
Spoofing,dhcp,0.0017867938761886156,0.003582331687258981,39
Web,max,0.06321873662101953,0.12082935104089261,1
Web,rate,0.08798938132031932,0.1008453587102252,2
Web,ttl,0.04607012919706306,0.08581955225290314,3
Web,min,0.04077573106085548,0.05796395615525127,4
Web,https,-0.020429427425790608,0.049587029811262444,5
Web,avg,-0.0037009620816627546,0.04534436429419847,6
Web,dns,-0.022377548550356376,0.03858946711945681,7
Web,header_len,0.02942749260361793,0.0367365682640099,8
Web,psh,0.007971282967595633,0.031808572323513286,9
Web,tot_size,0.02015823286127494,0.029942262590230345,10
Web,tot_sum,-0.0006807735133325376,0.028873000674057445,11
Web,proto_num,0.006758289914682452,0.028445616888348013,12
Web,ack,0.0029414335470785624,0.02569780244888154,13
Web,num,0.01512067263252332,0.02542988682080928,14
Web,iat,0.013745486744985318,0.022817403229245387,15
Web,var,-0.004217186649051953,0.022269869476918187,16
Web,http,0.00612658144360575,0.022072536908194367,17
Web,std,-0.0015082862947063188,0.021859123244049348,18
Web,fin,0.005722159551827536,0.01444986573046459,19
Web,llc,-0.011556016703144083,0.013812775468543249,20
Web,ipv,-0.00794814303804036,0.013205980751298562,21
Web,ack_cnt,-0.000723897917335158,0.013052145342356455,22
Web,fin_cnt,0.0008620810425673514,0.01216551909351777,23
Web,syn,0.0003705703798479943,0.011997909411534306,24
Web,udp,-0.009178682323914444,0.01188163340485693,25
Web,telnet,0.005234818427767882,0.010791576278062343,26
Web,tcp,-0.0041546505061847,0.009958434753543906,27
Web,syn_cnt,-0.00043712749663712595,0.009885355340205688,28
Web,rst,0.0009057522532460627,0.009837148313188175,29
Web,rst_cnt,-0.0009360518438981346,0.009643359353666805,30
Web,arp,-0.0071859862019297924,0.009542757353966721,31
Web,igmp,-0.0036531469442381234,0.00941766490343152,32
Web,icmp,-0.004415303371401865,0.008842456891243137,33
Web,ece,0.0008890306724343144,0.007016831661232246,34
Web,smtp,0.001380295166919536,0.006389194181181991,35
Web,ssh,0.0004679152034305613,0.006236187297098926,36
Web,dhcp,-0.002916529830104286,0.0059322886982452255,37
