class,pred_preserved,top5_overlap,top5_jaccard,spearman
Benign,0.2,1.6888888888888889,0.21981922398589065,0.4346761133603239
BruteForce,0.08333333333333333,1.261111111111111,0.16049382716049382,0.42625843454790824
DDoS,0.6888888888888889,2.3722222222222222,0.3367724867724867,0.42455982477108806
DoS,0.7611111111111111,2.511111111111111,0.35734126984126985,0.5489541160593793
Mirai,1.0,2.6166666666666667,0.3684964726631393,0.5512600724100468
Recon,0.21666666666666667,1.738888888888889,0.22978395061728393,0.44732515435682996
Spoofing,0.5388888888888889,2.261111111111111,0.3134038800705467,0.5027968960863698
Web,0.49444444444444446,2.261111111111111,0.30952380952380953,0.5337887989203779
