baseline,baseline_macro_f1,mean_distilbert_minus_baseline,sample_sd_across_seeds,min_difference,max_difference
xgb,0.7238915142184597,-0.023723708505792602,0.010729150932623308,-0.03606641481825301,-0.016626137017702103
rf,0.7224858734333375,-0.022318067720670427,0.010729150932623308,-0.03466077403313084,-0.015220496232579928
