seed,best_epoch,validation_macro_f1,test_macro_f1,test_accuracy,test_weighted_f1,test_roc_auc_macro,train_time_hours
42,8,0.7173363466934249,0.7072653772007576,0.783481101259916,0.7831377926507845,0.970913976918389,7.204662993379736
123,7,0.7185201396052869,0.705412940537037,0.780681287914139,0.783153948744245,0.9704544276961996,8.774625097419177
2026,12,0.6975377522626149,0.6878250994002066,0.7746150256649557,0.7745387995315605,0.9679608352545428,8.653689284386395
