class,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max
Benign,0.7064526136787416,0.015870939135919592,0.6891334250343879,0.7203007518796992,0.7275931520644511,0.027413207631049718,0.702416918429003,0.756797583081571,0.7164872648764159,0.008956213128989272,0.7061503416856492,0.7219291635267521
BruteForce,0.5556537473224926,0.10416818631667706,0.4644549763033175,0.6691729323308271,0.46573208722741427,0.05415993349131995,0.4158878504672897,0.5233644859813084,0.5008155523641679,0.03517417129399318,0.4611764705882353,0.5283018867924528
DDoS,0.8376685860183101,0.008581824356309707,0.8306127910088306,0.8472222222222222,0.8371756622366875,0.00861676344449428,0.8272308109574179,0.8424193110930296,0.8373644805988244,0.0013053950489139883,0.8362068965517241,0.8387793680799351
DoS,0.6669197332781128,0.0028650984666951738,0.6638343069569835,0.6694963214487832,0.6668518518518519,0.024256431839755566,0.6488888888888888,0.6944444444444444,0.6667083750483996,0.010793967518737946,0.6580281690140845,0.678794461037198
Mirai,0.9957764590885002,0.00244265689798838,0.9931906614785992,0.9980449657869012,0.9948018193632228,0.0005627195606137424,0.9941520467836256,0.9951267056530214,0.9952877971927467,0.001221452893579795,0.994157740993184,0.996583699365544
Recon,0.6368738209132011,0.04554122797248804,0.6024955436720143,0.6885245901639344,0.635673624288425,0.07511451769597528,0.5578747628083491,0.7077798861480076,0.6328124889064092,0.02433205371124427,0.6163522012578616,0.6607617360496014
Spoofing,0.9031348942976313,0.021499664442850997,0.8886255924170616,0.9278350515463918,0.8329554043839758,0.017019395690397066,0.8163265306122449,0.8503401360544217,0.866360015257137,0.0042156842899374845,0.8615023474178404,0.8690614136732329
Web,0.356545945265246,0.019333062921056375,0.3354632587859425,0.3734439834024896,0.42480620155038756,0.06070316883861051,0.3674418604651163,0.4883720930232558,0.38550647145723543,0.01863733487706991,0.3640552995391705,0.3977272727272727
