seed,original_macro_f1,original_ci_lower,original_ci_upper,no_number_macro_f1,no_number_ci_lower,no_number_ci_upper,delta,delta_ci_lower,delta_ci_upper
42,0.713888444502498,0.6992250668660942,0.7273544999383225,0.7072653772007576,0.6923965055421265,0.7211299179271393,-0.0066230673017404484,-0.017572347567665084,0.004813230559627774
123,0.710494668763131,0.6958635306605285,0.7242055499098297,0.705412940537037,0.6912903461019978,0.7183345799974092,-0.0050817282260940955,-0.016076364122180876,0.0057104032678977346
2026,0.6930979446319905,0.6785866514543186,0.7068391667445795,0.6878250994002066,0.6732161528970327,0.7013822589789112,-0.00527284523178384,-0.01707689546919705,0.006156494248162055
