class,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max
Benign,0.6907741489508036,0.03657862501753718,0.6535031847133758,0.7266187050359713,0.7628398791540786,0.012084592145015116,0.7507552870090635,0.7749244712990937,0.7245439803768754,0.01799891947590208,0.7090532135452661,0.7442888725128961
BruteForce,0.5744567901234569,0.13538833205726175,0.4722222222222222,0.728,0.4766355140186916,0.05140186915887851,0.4252336448598131,0.5280373831775701,0.512291052114061,0.03328089052602408,0.4744186046511628,0.5368731563421829
DDoS,0.8412227963691324,0.011455286671495674,0.8290688472698496,0.8518202502844141,0.8345538378085164,0.020419343883611274,0.8123135340385137,0.8524545701112015,0.8376762989264513,0.005265295109134496,0.8315979453005692,0.8408318608128313
DoS,0.6670123401524984,0.01499802186538984,0.6500761808024378,0.6786133960047004,0.6774074074074075,0.0347670081538098,0.6416666666666667,0.7111111111111111,0.6715752151314923,0.010485345377836694,0.6596230725299829,0.6792252586893075
Mirai,0.9973967860772358,0.0024574396526537974,0.9951171875,1.0,0.9944769330734243,0.0014888160152553298,0.99317738791423,0.9961013645224172,0.9959336069534968,0.0015663456846983124,0.9941463414634146,0.997067448680352
Recon,0.648067926305986,0.029908663623079815,0.6148648648648649,0.6728971962616822,0.6154332700822264,0.07231402539126079,0.5464895635673624,0.6907020872865275,0.6285373336060067,0.023896777516074136,0.6031413612565445,0.6505808757819481
Spoofing,0.9129250803251588,0.017547998198326784,0.8929440389294404,0.9258312020460358,0.8291761148904007,0.007289229600145853,0.8208616780045351,0.8344671201814059,0.86894776256347,0.006907745226686803,0.8615023474178404,0.8751486325802615
Web,0.38763572409212427,0.012099271128655697,0.3805668016194332,0.4016064257028112,0.4294573643410853,0.04010082839186839,0.386046511627907,0.4651162790697674,0.40711090472179895,0.023831864763687993,0.3833718244803695,0.4310344827586206
