class,original_f1_mean,no_number_f1_mean,delta_mean,delta_sample_sd,delta_min,delta_max
Benign,0.7245439803768754,0.7164872648764159,-0.008056715500459352,0.012546805764997865,-0.022359708986144033,0.0010924343443828866
BruteForce,0.512291052114061,0.5008155523641679,-0.011475499749893073,0.01340029990754611,-0.023904856630367344,0.0027204914436156358
DDoS,0.8376762989264513,0.8373644805988244,-0.0003118183276269078,0.005232667982600463,-0.004624964261107256,0.005509231864244901
DoS,0.6715752151314923,0.6667083750483996,-0.0048668400830926455,0.011429289628405328,-0.01784914516110203,0.0036794225639336098
Mirai,0.9959336069534966,0.9952877971927467,-0.0006458097607499047,0.0017082250459797207,-0.0024292897235395072,0.0009756097560975618
Recon,0.6285373336060067,0.6328124889064092,0.004275155300402529,0.017618543430164488,-0.015537562521665937,0.018182168155220224
Spoofing,0.86894776256347,0.866360015257137,-0.0025877473063328957,0.0031443583442763785,-0.00608721890702868,0.0
Web,0.40711090472179906,0.38550647145723543,-0.02160443326456357,0.010743120039267261,-0.033307210031347956,-0.01218956482114375
