seed,class,original_f1,no_number_f1,delta
42,Benign,0.7442888725128961,0.7219291635267521,-0.022359708986144033
42,BruteForce,0.5368731563421829,0.5129682997118156,-0.023904856630367344
42,DDoS,0.8405990906659535,0.8387793680799351,-0.0018197225860183686
42,DoS,0.6596230725299829,0.6633024950939165,0.0036794225639336098
42,Mirai,0.9970674486803519,0.9965836993655441,-0.0004837493148077687
42,Recon,0.6505808757819481,0.6607617360496014,0.010180860267653302
42,Spoofing,0.8751486325802615,0.8690614136732329,-0.00608721890702868
42,Web,0.4069264069264069,0.39473684210526316,-0.01218956482114375
123,Benign,0.7202898550724638,0.7213822894168467,0.0010924343443828866
123,BruteForce,0.5255813953488372,0.5283018867924528,0.0027204914436156358
123,DDoS,0.8315979453005692,0.8371071771648141,0.005509231864244901
123,DoS,0.6792252586893075,0.678794461037198,-0.0004307976521095158
123,Mirai,0.9941463414634146,0.9951219512195122,0.0009756097560975618
123,Recon,0.6318897637795275,0.6163522012578616,-0.015537562521665937
123,Spoofing,0.8701923076923077,0.8685162846803377,-0.001676023011970007
123,Web,0.43103448275862066,0.3977272727272727,-0.033307210031347956
2026,Benign,0.7090532135452661,0.7061503416856492,-0.0029028718596169067
2026,BruteForce,0.4744186046511628,0.4611764705882353,-0.013242134062927513
2026,DDoS,0.8408318608128313,0.8362068965517241,-0.004624964261107256
2026,DoS,0.6758773141751865,0.6580281690140845,-0.01784914516110203
2026,Mirai,0.9965870307167235,0.994157740993184,-0.0024292897235395072
2026,Recon,0.6031413612565445,0.6213235294117647,0.018182168155220224
2026,Spoofing,0.8615023474178404,0.8615023474178404,0.0
2026,Web,0.3833718244803695,0.3640552995391705,-0.01931652494119901
