baseline,baseline_macro_f1,mean_distilbert_minus_baseline,sample_sd_across_seeds,min_difference,max_difference
xgb,0.7277749534590465,-0.021947934159840015,0.01115353911791901,-0.034677008827056044,-0.013886508956548527
rf,0.7222754974344063,-0.016448478135199823,0.01115353911791901,-0.02917755280241585,-0.008387052931908334
