feature_set,model,macro_f1,delta_vs_original
original,rf,0.7222754974344063,0.0
original,xgb,0.7277749534590465,0.0
original,svm,0.6672472296621583,0.0
no_number,rf,0.7224858734333375,0.0002103759989311449
no_number,xgb,0.7238915142184597,-0.0038834392405868723
no_protocol,rf,0.7235987109036057,0.0013232134691993913
no_protocol,xgb,0.7287455883162721,0.0009706348572255941
no_number_protocol,rf,0.7232154686842278,0.0009399712498214807
no_number_protocol,xgb,0.720805180242651,-0.0069697732163955806
