seed,original_validation_macro_f1,no_number_validation_macro_f1,original_test_macro_f1,no_number_test_macro_f1,test_macro_f1_delta,original_test_accuracy,no_number_test_accuracy,test_accuracy_delta
42,0.7176743371517155,0.7173363466934249,0.713888444502498,0.7072653772007576,-0.0066230673017404484,0.7862809146056929,0.783481101259916,-0.002799813345776947
123,0.7145722181342145,0.7185201396052869,0.710494668763131,0.705412940537037,-0.0050817282260940955,0.7800979934671022,0.780681287914139,0.000583294447036864
2026,0.697805106722591,0.6975377522626149,0.6930979446319905,0.6878250994002066,-0.00527284523178384,0.7805646290247317,0.7746150256649557,-0.005949603359776012
