class,feature,abs_mean,rank
Mirai,ece,0.012286,24
Mirai,rst,0.011212,25
Mirai,igmp,0.010876,26
Mirai,rst_cnt,0.010623,27
Mirai,dns,0.010536,28
Mirai,dhcp,0.009818,29
Mirai,udp,0.009248,30
Mirai,icmp,0.008934,31
Mirai,arp,0.007763,32
Mirai,telnet,0.007693,33
Mirai,ssh,0.006769,34
Mirai,smtp,0.006365,35
Mirai,irc,0.006277,36
Mirai,https,0.005964,37
Mirai,tcp,0.005837,38
Mirai,http,0.005472,39
Recon,max,0.371331,1
Recon,min,0.301591,2
Recon,syn,0.285196,3
Recon,avg,0.23347,4
Recon,ack_cnt,0.227698,5
Recon,https,0.204067,6
Recon,psh,0.191309,7
Recon,rst,0.188012,8
Recon,num,0.186848,9
Recon,rate,0.183829,10
Recon,fin,0.177873,11
Recon,dns,0.16415,12
Recon,tot_size,0.156827,13
Recon,ttl,0.156117,14
Recon,syn_cnt,0.153265,15
Recon,std,0.135857,16
Recon,iat,0.135408,17
Recon,ack,0.133789,18
Recon,http,0.128998,19
Recon,proto_num,0.118054,20
Recon,header_len,0.11594,21
Recon,fin_cnt,0.115279,22
Recon,tot_sum,0.092075,23
Recon,var,0.073881,24
Recon,rst_cnt,0.063525,25
Recon,telnet,0.05072,26
Recon,ece,0.050166,27
Recon,cwr,0.045661,28
Recon,ipv,0.043051,29
Recon,igmp,0.037499,30
Recon,dhcp,0.035502,31
Recon,icmp,0.035085,32
Recon,smtp,0.034912,33
Recon,llc,0.034897,34
Recon,udp,0.033272,35
Recon,irc,0.032337,36
Recon,ssh,0.031929,37
Recon,arp,0.030996,38
Recon,tcp,0.029475,39
Spoofing,max,1.76122,1
Spoofing,min,1.647517,2
Spoofing,https,0.602936,3
Spoofing,ttl,0.382043,4
Spoofing,proto_num,0.281633,5
Spoofing,iat,0.191411,6
Spoofing,avg,0.185819,7
Spoofing,num,0.175278,8
Spoofing,psh,0.164084,9
Spoofing,tot_size,0.123683,10
Spoofing,rate,0.110596,11
Spoofing,std,0.104281,12
Spoofing,ack,0.103513,13
Spoofing,dns,0.093551,14
Spoofing,tot_sum,0.089387,15
Spoofing,header_len,0.077679,16
Spoofing,var,0.068107,17
Spoofing,ack_cnt,0.066225,18
Spoofing,fin,0.058004,19
Spoofing,ece,0.052101,20
Spoofing,cwr,0.049634,21
Spoofing,syn_cnt,0.044632,22
Spoofing,llc,0.036227,23
Spoofing,rst,0.034289,24
Spoofing,syn,0.033964,25
Spoofing,fin_cnt,0.030872,26
Spoofing,rst_cnt,0.030069,27
Spoofing,igmp,0.026637,28
Spoofing,udp,0.024077,29
Spoofing,icmp,0.0232,30
Spoofing,tcp,0.020293,31
Spoofing,ssh,0.020284,32
Spoofing,telnet,0.02022,33
Spoofing,dhcp,0.019999,34
Spoofing,ipv,0.019611,35
Spoofing,smtp,0.019295,36
Spoofing,arp,0.018862,37
Spoofing,irc,0.018457,38
Spoofing,http,0.0126,39
Web,max,0.781227,1
Web,rate,0.396997,2
Web,avg,0.336512,3
Web,tot_size,0.328431,4
Web,psh,0.289642,5
Web,dns,0.286843,6
Web,https,0.274197,7
