class,eps,spearman,jaccard5,pred_preserved
Benign,0.01,0.5281376518218623,0.1111111111111111,True
Benign,0.05,0.524493927125506,0.25,False
Benign,0.1,0.4657894736842106,0.25,False
Benign,0.01,0.5726720647773279,0.6666666666666666,False
Benign,0.05,0.4663967611336033,0.25,False
Benign,0.1,0.4663967611336033,0.25,False
Benign,0.01,0.4572874493927126,0.25,False
Benign,0.05,0.2819838056680162,0.25,True
Benign,0.1,0.4058704453441296,0.42857142857142855,True
Benign,0.01,0.4902834008097166,0.25,True
Benign,0.05,0.4394736842105263,0.42857142857142855,False
Benign,0.1,0.5825910931174089,0.1111111111111111,False
Benign,0.01,0.41032388663967617,0.42857142857142855,False
Benign,0.05,0.2194331983805668,0.25,False
Benign,0.1,0.2777327935222672,0.25,False
Benign,0.01,0.39008097165991906,0.25,False
Benign,0.05,0.6283400809716599,0.25,False
Benign,0.1,0.5149797570850203,0.1111111111111111,False
Benign,0.01,0.321255060728745,0.1111111111111111,False
Benign,0.05,0.4961538461538462,0.1111111111111111,True
Benign,0.1,0.4649797570850203,0.25,False
Benign,0.01,0.6603238866396762,0.1111111111111111,False
Benign,0.05,0.4959514170040486,0.1111111111111111,False
Benign,0.1,0.6734817813765184,0.25,False
Benign,0.01,0.5425101214574899,0.25,False
Benign,0.05,0.3645748987854251,0.42857142857142855,False
Benign,0.1,0.24939271255060727,0.1111111111111111,False
Benign,0.01,0.5224696356275305,0.42857142857142855,False
Benign,0.05,0.5188259109311741,0.25,False
Benign,0.1,0.6552631578947369,0.25,False
Benign,0.01,0.5732793522267208,0.25,False
Benign,0.05,0.608906882591093,0.25,False
Benign,0.1,0.611336032388664,0.25,False
Benign,0.01,0.6174089068825911,0.1111111111111111,True
Benign,0.05,0.6417004048582997,0.42857142857142855,False
Benign,0.1,0.7530364372469637,0.1111111111111111,True
Benign,0.01,0.18623481781376522,0.1111111111111111,False
Benign,0.05,0.5087044534412954,0.1111111111111111,False
Benign,0.1,0.4234817813765182,0.25,True
Benign,0.01,0.4400809716599191,0.42857142857142855,False
Benign,0.05,0.3619433198380567,0.25,False
Benign,0.1,0.6216599190283402,0.25,False
Benign,0.01,0.4953441295546559,0.42857142857142855,True
Benign,0.05,0.25809716599190285,0.25,True
Benign,0.1,0.26943319838056684,0.42857142857142855,True
Benign,0.01,0.5906882591093118,0.42857142857142855,False
Benign,0.05,0.626923076923077,0.42857142857142855,False
Benign,0.1,0.5036437246963563,0.25,False
Benign,0.01,0.5157894736842106,0.25,False
Benign,0.05,0.32834008097165995,0.25,True
Benign,0.1,0.48947368421052634,0.25,False
Benign,0.01,0.4352226720647774,0.42857142857142855,False
Benign,0.05,0.48663967611336034,0.25,False
Benign,0.1,0.3997975708502025,0.25,True
Benign,0.01,0.5034412955465587,0.42857142857142855,True
Benign,0.05,0.6275303643724698,0.42857142857142855,False
Benign,0.1,0.45890688259109313,0.25,False
Benign,0.01,0.43036437246963566,0.25,False
Benign,0.05,0.5030364372469636,0.25,True
Benign,0.1,0.597165991902834,0.42857142857142855,False
Benign,0.01,0.415587044534413,0.25,False
Benign,0.05,0.5645748987854252,0.42857142857142855,False
Benign,0.1,0.524493927125506,0.25,False
Benign,0.01,0.3993927125506073,0.42857142857142855,True
Benign,0.05,0.4564777327935223,0.1111111111111111,False
Benign,0.1,0.5534412955465587,0.25,True
Benign,0.01,0.37267206477732795,0.25,False
Benign,0.05,0.6163967611336032,0.1111111111111111,False
Benign,0.1,0.40161943319838056,0.25,False
Benign,0.01,0.4295546558704454,0.42857142857142855,False
Benign,0.05,0.5271255060728746,0.1111111111111111,True
Benign,0.1,0.6006072874493928,0.25,True
Benign,0.01,0.4647773279352227,0.25,False
Benign,0.05,0.36295546558704456,0.25,False
Benign,0.1,0.5921052631578948,0.25,False
Benign,0.01,0.45951417004048584,0.25,False
Benign,0.05,0.28036437246963564,0.25,False
Benign,0.1,0.33987854251012145,0.25,True
Benign,0.01,0.49898785425101216,0.42857142857142855,False
Benign,0.05,0.26842105263157895,0.25,True
Benign,0.1,0.5240890688259109,0.25,True
Benign,0.01,0.6161943319838057,0.25,False
Benign,0.05,0.5066801619433199,0.25,False
Benign,0.1,0.5135627530364373,0.25,True
Benign,0.01,0.5082995951417005,0.25,True
Benign,0.05,0.6746963562753037,0.42857142857142855,True
Benign,0.1,0.3680161943319838,0.25,False
Benign,0.01,0.30951417004048587,0.42857142857142855,True
Benign,0.05,0.26275303643724696,0.1111111111111111,False
Benign,0.1,0.467004048582996,0.1111111111111111,True
Benign,0.01,0.5558704453441295,0.25,False
Benign,0.05,0.6392712550607287,0.42857142857142855,True
Benign,0.1,0.45263157894736844,0.25,True
Benign,0.01,0.5200404858299595,0.6666666666666666,True
Benign,0.05,0.5220647773279352,0.42857142857142855,True
Benign,0.1,0.5257085020242915,0.42857142857142855,True
Benign,0.01,0.4297570850202429,0.1111111111111111,False
Benign,0.05,0.6591093117408907,0.25,False
Benign,0.1,0.5742914979757084,0.25,False
Benign,0.01,0.30080971659919026,0.25,True
Benign,0.05,0.40890688259109315,0.42857142857142855,True
Benign,0.1,0.5350202429149798,0.6666666666666666,False
Benign,0.01,0.48805668016194337,0.25,False
Benign,0.05,0.5208502024291498,0.25,False
Benign,0.1,0.35161943319838057,0.25,False
Benign,0.01,0.5475708502024291,0.1111111111111111,False
Benign,0.05,0.7558704453441296,0.25,False
Benign,0.1,0.7052631578947368,0.25,True
Benign,0.01,0.47834008097166,0.25,False
Benign,0.05,0.5437246963562753,0.42857142857142855,True
Benign,0.1,0.5153846153846154,0.25,True
Benign,0.01,0.35182186234817814,0.25,False
Benign,0.05,0.27145748987854257,0.25,False
Benign,0.1,0.6336032388663968,0.25,False
Benign,0.01,0.3536437246963563,0.25,True
Benign,0.05,0.4111336032388664,0.42857142857142855,False
Benign,0.1,0.49453441295546563,0.25,True
Benign,0.01,0.402834008097166,0.25,False
Benign,0.05,0.5455465587044535,0.42857142857142855,False
Benign,0.1,0.4858299595141701,0.25,False
Benign,0.01,0.4058704453441296,0.1111111111111111,False
Benign,0.05,0.4593117408906883,0.25,False
Benign,0.1,0.2040485829959514,0.1111111111111111,False
Benign,0.01,0.5886639676113361,0.42857142857142855,False
Benign,0.05,0.48724696356275304,0.6666666666666666,True
Benign,0.1,0.602834008097166,0.25,True
Benign,0.01,0.5831983805668016,0.42857142857142855,False
Benign,0.05,0.6601214574898786,0.1111111111111111,False
Benign,0.1,0.559919028340081,0.1111111111111111,False
Benign,0.01,0.42834008097165993,0.25,False
Benign,0.05,0.34230769230769237,0.25,False
Benign,0.1,0.18542510121457492,0.25,False
Benign,0.01,0.7222672064777329,0.1111111111111111,True
Benign,0.05,0.5050607287449392,0.25,True
Benign,0.1,0.4653846153846154,0.42857142857142855,False
Benign,0.01,0.3447368421052632,0.25,False
Benign,0.05,0.6226720647773281,0.1111111111111111,False
Benign,0.1,0.38744939271255063,0.1111111111111111,False
Benign,0.01,0.44777327935222677,0.1111111111111111,False
