class,eps,jaccard5_predclass,pred_preserved
BruteForce,0.1,0.1111111111111111,False
BruteForce,0.01,0.42857142857142855,False
BruteForce,0.05,0.1111111111111111,False
BruteForce,0.1,0.1111111111111111,False
BruteForce,0.01,0.25,False
BruteForce,0.05,0.1111111111111111,False
BruteForce,0.1,0.42857142857142855,False
BruteForce,0.01,0.1111111111111111,False
BruteForce,0.05,0.25,False
BruteForce,0.1,0.25,False
BruteForce,0.01,0.25,True
BruteForce,0.05,0.25,False
BruteForce,0.1,0.25,False
BruteForce,0.01,0.25,False
BruteForce,0.05,0.1111111111111111,False
BruteForce,0.1,0.25,False
BruteForce,0.01,0.25,False
BruteForce,0.05,0.25,False
BruteForce,0.1,0.1111111111111111,False
BruteForce,0.01,0.25,False
BruteForce,0.05,0.25,False
BruteForce,0.1,0.0,False
BruteForce,0.01,0.0,False
BruteForce,0.05,0.0,False
BruteForce,0.1,0.1111111111111111,False
BruteForce,0.01,0.0,False
BruteForce,0.05,0.25,False
BruteForce,0.1,0.0,False
BruteForce,0.01,0.1111111111111111,False
BruteForce,0.05,0.25,False
BruteForce,0.1,0.1111111111111111,False
BruteForce,0.01,0.42857142857142855,False
BruteForce,0.05,0.1111111111111111,False
BruteForce,0.1,0.42857142857142855,False
BruteForce,0.01,0.25,False
BruteForce,0.05,0.25,False
BruteForce,0.1,0.25,False
BruteForce,0.01,0.42857142857142855,False
BruteForce,0.05,0.25,False
BruteForce,0.1,0.25,False
BruteForce,0.01,0.1111111111111111,False
BruteForce,0.05,0.1111111111111111,False
BruteForce,0.1,0.25,False
BruteForce,0.01,0.25,False
BruteForce,0.05,0.25,False
BruteForce,0.1,0.42857142857142855,False
BruteForce,0.01,0.1111111111111111,False
BruteForce,0.05,0.1111111111111111,False
BruteForce,0.1,0.0,False
BruteForce,0.01,0.25,False
BruteForce,0.05,0.25,False
BruteForce,0.1,0.1111111111111111,False
BruteForce,0.01,0.25,False
BruteForce,0.05,0.42857142857142855,False
BruteForce,0.1,0.42857142857142855,False
DDoS,0.01,0.42857142857142855,True
DDoS,0.05,0.25,True
DDoS,0.1,0.25,True
DDoS,0.01,0.25,False
DDoS,0.05,0.1111111111111111,False
DDoS,0.1,0.1111111111111111,False
DDoS,0.01,0.42857142857142855,True
DDoS,0.05,0.0,True
DDoS,0.1,0.1111111111111111,True
DDoS,0.01,0.25,True
DDoS,0.05,0.1111111111111111,True
DDoS,0.1,0.1111111111111111,True
DDoS,0.01,0.42857142857142855,True
DDoS,0.05,0.1111111111111111,True
DDoS,0.1,0.0,True
DDoS,0.01,0.25,True
DDoS,0.05,0.6666666666666666,True
DDoS,0.1,0.42857142857142855,True
DDoS,0.01,0.42857142857142855,True
DDoS,0.05,0.42857142857142855,True
DDoS,0.1,0.6666666666666666,True
DDoS,0.01,0.1111111111111111,True
DDoS,0.05,0.1111111111111111,True
DDoS,0.1,0.25,True
DDoS,0.01,0.1111111111111111,True
DDoS,0.05,0.1111111111111111,False
DDoS,0.1,0.25,False
DDoS,0.01,0.25,True
DDoS,0.05,0.25,True
DDoS,0.1,0.42857142857142855,False
DDoS,0.01,0.6666666666666666,True
DDoS,0.05,0.25,True
DDoS,0.1,0.6666666666666666,True
DDoS,0.01,0.25,True
DDoS,0.05,0.25,True
DDoS,0.1,0.25,True
DDoS,0.01,0.25,True
DDoS,0.05,0.1111111111111111,True
DDoS,0.1,0.42857142857142855,True
DDoS,0.01,0.6666666666666666,True
DDoS,0.05,0.6666666666666666,True
DDoS,0.1,0.42857142857142855,True
DDoS,0.01,0.25,True
DDoS,0.05,0.1111111111111111,False
DDoS,0.1,0.42857142857142855,True
DDoS,0.01,0.42857142857142855,True
DDoS,0.05,0.25,True
DDoS,0.1,0.1111111111111111,True
DDoS,0.01,0.1111111111111111,True
DDoS,0.05,0.42857142857142855,True
DDoS,0.1,0.25,True
DDoS,0.01,0.42857142857142855,True
DDoS,0.05,0.42857142857142855,True
DDoS,0.1,0.25,True
DDoS,0.01,0.25,True
DDoS,0.05,0.25,False
DDoS,0.1,0.42857142857142855,True
DDoS,0.01,0.25,True
DDoS,0.05,0.1111111111111111,True
DDoS,0.1,0.25,True
DDoS,0.01,0.42857142857142855,True
DDoS,0.05,0.6666666666666666,True
DDoS,0.1,0.6666666666666666,True
DDoS,0.01,0.1111111111111111,True
DDoS,0.05,0.25,True
DDoS,0.1,0.1111111111111111,False
DDoS,0.01,0.25,True
DDoS,0.05,0.25,False
DDoS,0.1,0.25,True
DDoS,0.01,0.1111111111111111,True
DDoS,0.05,0.42857142857142855,True
DDoS,0.1,0.25,False
DDoS,0.01,0.1111111111111111,True
DDoS,0.05,0.42857142857142855,True
DDoS,0.1,0.42857142857142855,False
DDoS,0.01,0.25,True
DDoS,0.05,0.25,True
DDoS,0.1,0.1111111111111111,True
DDoS,0.01,0.42857142857142855,True
DDoS,0.05,0.25,False
DDoS,0.1,0.6666666666666666,False
DDoS,0.01,0.42857142857142855,True
DDoS,0.05,0.25,True
DDoS,0.1,0.25,True
DDoS,0.01,0.42857142857142855,True
DDoS,0.05,0.25,True
DDoS,0.1,0.6666666666666666,True
DDoS,0.01,0.1111111111111111,True
DDoS,0.05,0.25,True
DDoS,0.1,0.25,True
DDoS,0.01,0.1111111111111111,True
DDoS,0.05,0.25,True
DDoS,0.1,0.1111111111111111,True
DDoS,0.01,0.42857142857142855,True
DDoS,0.05,0.6666666666666666,True
DDoS,0.1,0.42857142857142855,True
DDoS,0.01,0.25,True
DDoS,0.05,0.25,True
DDoS,0.1,0.1111111111111111,True
DDoS,0.01,0.1111111111111111,True
DDoS,0.05,0.42857142857142855,True
DDoS,0.1,0.42857142857142855,False
DDoS,0.01,0.25,True
DDoS,0.05,0.25,True
DDoS,0.1,0.25,True
DDoS,0.01,0.25,True
DDoS,0.05,0.1111111111111111,True
DDoS,0.1,0.42857142857142855,True
DDoS,0.01,0.42857142857142855,True
DDoS,0.05,0.42857142857142855,False
DDoS,0.1,0.25,True
DDoS,0.01,0.25,True
DDoS,0.05,0.42857142857142855,True
DDoS,0.1,0.1111111111111111,True
DDoS,0.01,0.42857142857142855,True
DDoS,0.05,0.25,True
DDoS,0.1,0.25,True
DDoS,0.01,0.1111111111111111,True
