epoch,train_loss,val_macro_f1,epoch_time_s
1,0.9718807827672792,0.5338234974798857,3881.1874565419857
2,0.5409676986891898,0.6045075345876512,2039.662860499986
3,0.4967900993074067,0.6748587026972759,1990.6923085830058
4,0.466110473539842,0.6993537399350179,1996.946569791995
5,0.4444302096225248,0.7113458477451622,2015.3546855409513
6,0.42792552242003046,0.7145245906775586,2074.794602249982
7,0.409059058230793,0.7176538902544707,2002.4534564160276
8,0.3911302948579113,0.7179449409956166,1995.20391379192
9,0.3754751026766589,0.7219617236699367,1993.4320311249467
10,0.3624343116684715,0.7247338098801899,1983.7821082919836
