class,feature,signed_mean,abs_mean,rank
DoS,icmp,0.003355,0.006116,21
DoS,syn_cnt,0.002799,0.003867,22
DoS,dns,-0.001063,0.003297,23
DoS,rst_cnt,0.001505,0.002387,24
DoS,ssh,-0.000467,0.000568,25
DoS,fin_cnt,3.4e-05,0.000139,26
DoS,ack_cnt,3.2e-05,9.3e-05,27
DoS,proto_num,3.8e-05,6.7e-05,28
DoS,igmp,-4.2e-05,4.2e-05,29
DoS,var,0.0,0.0,30
DoS,ece,0.0,0.0,31
DoS,cwr,0.0,0.0,32
DoS,telnet,0.0,0.0,33
DoS,irc,0.0,0.0,34
DoS,dhcp,0.0,0.0,35
DoS,ipv,0.0,0.0,36
DoS,llc,0.0,0.0,37
DoS,tot_size,0.0,0.0,38
DoS,smtp,0.0,0.0,39
Mirai,tot_sum,0.617206,0.617206,1
Mirai,max,0.101667,0.102283,2
Mirai,proto_num,0.086762,0.086762,3
Mirai,min,0.079522,0.084656,4
Mirai,std,0.055713,0.055713,5
Mirai,avg,0.019129,0.019129,6
Mirai,ttl,-0.006355,0.007246,7
Mirai,header_len,0.004846,0.004846,8
Mirai,num,0.004436,0.00454,9
Mirai,psh,-0.003795,0.003914,10
Mirai,ack_cnt,-0.001583,0.002916,11
Mirai,rate,-0.001759,0.002666,12
Mirai,dns,-0.002663,0.002663,13
Mirai,syn,0.001892,0.002025,14
Mirai,icmp,-0.000401,0.00109,15
Mirai,ack,0.000983,0.000983,16
Mirai,tcp,0.000305,0.000305,17
Mirai,fin,0.000246,0.000299,18
Mirai,udp,0.000186,0.000251,19
Mirai,http,0.000105,0.000145,20
Mirai,https,0.0001,0.000121,21
Mirai,arp,-0.000105,0.000119,22
Mirai,rst,-7e-06,5.6e-05,23
Mirai,rst_cnt,-3.7e-05,3.7e-05,24
Mirai,iat,1.3e-05,1.4e-05,25
Mirai,irc,-1.1e-05,1.1e-05,26
Mirai,syn_cnt,2e-06,3e-06,27
Mirai,fin_cnt,-0.0,0.0,28
Mirai,ece,0.0,0.0,29
Mirai,var,0.0,0.0,30
Mirai,cwr,0.0,0.0,31
Mirai,telnet,0.0,0.0,32
Mirai,ssh,0.0,0.0,33
Mirai,dhcp,0.0,0.0,34
Mirai,igmp,0.0,0.0,35
Mirai,ipv,0.0,0.0,36
Mirai,llc,0.0,0.0,37
Mirai,tot_size,0.0,0.0,38
Mirai,smtp,0.0,0.0,39
Recon,num,0.316817,0.316817,1
Recon,tot_sum,0.169083,0.17371,2
Recon,syn,0.098752,0.115677,3
Recon,rst,0.037164,0.049366,4
Recon,std,0.011814,0.040888,5
Recon,http,0.023729,0.035953,6
Recon,https,0.024175,0.033466,7
Recon,fin,0.021393,0.032997,8
Recon,max,0.023121,0.030788,9
Recon,iat,0.024256,0.030725,10
Recon,avg,-0.013739,0.02213,11
