class,feature,signed_mean,abs_mean,rank
DoS,rst,-0.00415,0.011071,17
DoS,syn,-0.008945,0.010783,18
DoS,fin_cnt,-0.00851,0.010474,19
DoS,rate,0.000848,0.009464,20
DoS,psh,0.006028,0.009384,21
DoS,ssh,0.00155,0.009195,22
DoS,cwr,-0.007486,0.007889,23
DoS,tcp,0.000525,0.007603,24
DoS,udp,-0.005348,0.00712,25
DoS,fin,-0.0001,0.006757,26
DoS,https,-0.00394,0.006375,27
DoS,arp,0.00579,0.006263,28
DoS,ipv,0.002785,0.006066,29
DoS,ece,-0.00466,0.005998,30
DoS,llc,0.004125,0.005461,31
DoS,telnet,-0.0025,0.005372,32
DoS,igmp,0.00401,0.005105,33
DoS,smtp,-0.002327,0.005099,34
DoS,icmp,-0.000471,0.005044,35
DoS,dhcp,-0.000748,0.004038,36
DoS,dns,0.000179,0.003546,37
DoS,irc,0.000433,0.003476,38
DoS,http,-0.000926,0.002751,39
Mirai,tot_size,0.182613,0.182613,1
Mirai,max,0.169427,0.169528,2
Mirai,proto_num,0.069311,0.112558,3
Mirai,avg,0.108825,0.108825,4
Mirai,min,0.062167,0.083279,5
Mirai,num,0.026672,0.054978,6
Mirai,tot_sum,0.049446,0.049446,7
Mirai,iat,0.045141,0.047519,8
Mirai,var,0.034839,0.041407,9
Mirai,std,0.021233,0.023813,10
Mirai,ttl,0.011619,0.014957,11
Mirai,psh,0.002693,0.007802,12
Mirai,rate,-0.000254,0.006956,13
Mirai,header_len,-0.000363,0.006552,14
Mirai,rst_cnt,-0.005643,0.006367,15
Mirai,fin_cnt,-0.00548,0.005715,16
Mirai,ack_cnt,-0.004443,0.005447,17
Mirai,ack,0.000226,0.005343,18
Mirai,ece,-0.004516,0.004676,19
Mirai,udp,0.002288,0.004555,20
Mirai,arp,0.003806,0.0042,21
Mirai,syn_cnt,-0.00286,0.003963,22
Mirai,https,0.001605,0.003605,23
Mirai,telnet,-0.003246,0.003551,24
Mirai,llc,0.002985,0.003481,25
Mirai,syn,-0.00271,0.003428,26
Mirai,cwr,-0.002945,0.003351,27
Mirai,tcp,-0.000368,0.003146,28
Mirai,smtp,-0.002136,0.003074,29
Mirai,ipv,-0.001116,0.002976,30
Mirai,fin,0.001572,0.002895,31
Mirai,dhcp,0.000499,0.00286,32
Mirai,dns,0.001889,0.002829,33
Mirai,rst,0.001633,0.002785,34
Mirai,igmp,0.001181,0.002682,35
Mirai,ssh,-0.00138,0.002632,36
Mirai,icmp,0.00151,0.002624,37
Mirai,irc,-0.000939,0.002178,38
Mirai,http,-0.000428,0.001403,39
Recon,proto_num,0.126911,0.126911,1
Recon,syn,0.081496,0.088879,2
Recon,ack_cnt,0.081999,0.083835,3
Recon,ttl,0.062451,0.065123,4
Recon,header_len,0.050079,0.050977,5
Recon,ack,-0.020244,0.041177,6
Recon,rst,0.032585,0.036556,7
Recon,syn_cnt,0.032898,0.034559,8
Recon,fin,0.032317,0.034192,9
Recon,psh,0.023639,0.03314,10
Recon,min,0.021554,0.03268,11
Recon,tot_size,0.012,0.031209,12
Recon,max,-0.004612,0.029586,13
Recon,https,0.020276,0.026142,14
Recon,avg,-0.001501,0.025172,15
Recon,num,0.020818,0.024772,16
Recon,rate,0.012748,0.022988,17
Recon,iat,0.018897,0.022584,18
Recon,var,-0.009887,0.021764,19
Recon,http,0.02064,0.021345,20
Recon,std,-0.001924,0.01929,21
Recon,dns,0.006143,0.016353,22
Recon,tot_sum,0.011275,0.015882,23
Recon,fin_cnt,0.004075,0.010438,24
Recon,rst_cnt,0.005807,0.008045,25
Recon,ssh,0.00671,0.00757,26
Recon,telnet,0.006139,0.0068,27
Recon,ipv,0.005886,0.006614,28
Recon,tcp,-0.00094,0.00657,29
Recon,ece,0.00362,0.006486,30
Recon,llc,0.005792,0.006317,31
Recon,smtp,0.005237,0.005912,32
Recon,udp,0.003291,0.005883,33
Recon,dhcp,0.003881,0.004337,34
Recon,igmp,0.001092,0.004214,35
Recon,icmp,0.001625,0.004088,36
Recon,irc,0.000867,0.004009,37
Recon,arp,-0.001574,0.003926,38
Recon,cwr,0.001947,0.003674,39
Spoofing,proto_num,0.116386,0.116386,1
Spoofing,max,0.111995,0.114444,2
Spoofing,min,0.083167,0.094617,3
Spoofing,ttl,0.071642,0.075051,4
Spoofing,https,0.046003,0.046548,5
Spoofing,header_len,0.041524,0.041524,6
Spoofing,ack,-0.030641,0.039604,7
Spoofing,tot_size,0.026894,0.039239,8
Spoofing,psh,0.01278,0.036766,9
Spoofing,iat,0.035202,0.036238,10
Spoofing,avg,0.021222,0.034037,11
Spoofing,ack_cnt,0.002088,0.027048,12
Spoofing,rst_cnt,0.022245,0.022245,13
Spoofing,std,0.01202,0.020217,14
Spoofing,var,-0.000949,0.020111,15
Spoofing,tot_sum,0.01268,0.019451,16
Spoofing,num,0.013578,0.019023,17
Spoofing,rate,0.008901,0.016833,18
Spoofing,dns,0.014266,0.016158,19
Spoofing,syn_cnt,-0.010734,0.016044,20
Spoofing,telnet,0.014492,0.014605,21
Spoofing,fin,0.008251,0.013121,22
Spoofing,ssh,0.01112,0.011258,23
Spoofing,syn,0.001679,0.009748,24
Spoofing,fin_cnt,0.007972,0.00965,25
Spoofing,smtp,0.009563,0.009586,26
Spoofing,ece,0.007545,0.008591,27
Spoofing,llc,0.006817,0.008214,28
Spoofing,udp,0.007253,0.007857,29
Spoofing,rst,0.005737,0.007592,30
Spoofing,tcp,0.005988,0.00755,31
Spoofing,cwr,0.005228,0.00658,32
Spoofing,ipv,0.00605,0.006482,33
Spoofing,http,0.005396,0.006253,34
Spoofing,irc,0.005159,0.005869,35
Spoofing,dhcp,0.004806,0.005151,36
Spoofing,igmp,-0.002366,0.004353,37
Spoofing,icmp,0.00113,0.003176,38
Spoofing,arp,-0.000207,0.002783,39
Web,tot_size,0.099629,0.099987,1
Web,max,0.067313,0.081713,2
Web,avg,0.079154,0.081273,3
Web,ttl,0.057568,0.064364,4
Web,proto_num,0.051624,0.061004,5
Web,rate,0.045834,0.054914,6
Web,psh,0.038608,0.051205,7
Web,header_len,0.049986,0.049986,8
Web,ack_cnt,0.043328,0.046699,9
Web,min,-0.00223,0.046325,10
Web,std,0.038987,0.042326,11
Web,ack,-0.032677,0.039894,12
Web,https,0.017125,0.026008,13
Web,var,-0.016789,0.02545,14
Web,iat,0.017523,0.024323,15
Web,tot_sum,0.016392,0.0209,16
Web,num,0.013717,0.018401,17
Web,dns,-0.005524,0.016663,18
Web,syn_cnt,0.011707,0.015435,19
Web,syn,0.008342,0.013285,20
Web,fin,0.010331,0.011467,21
Web,ece,0.00778,0.010445,22
Web,udp,0.007597,0.008888,23
Web,http,0.005766,0.008554,24
Web,tcp,0.006413,0.007984,25
Web,rst,0.001789,0.007736,26
Web,rst_cnt,0.005781,0.007586,27
Web,fin_cnt,0.004014,0.006346,28
Web,ipv,0.005027,0.006185,29
Web,telnet,0.003636,0.005849,30
Web,llc,0.002925,0.005118,31
Web,ssh,0.001834,0.00486,32
Web,arp,0.000582,0.004664,33
Web,dhcp,0.002053,0.004636,34
Web,cwr,0.001791,0.004117,35
Web,icmp,0.001443,0.004065,36
Web,irc,0.000771,0.00393,37
Web,igmp,-0.002236,0.003825,38
Web,smtp,0.001812,0.003593,39
