level,units,mean_spearman,min_spearman,max_spearman,mean_top_overlap,mean_top_overlap_pct,chance_top_overlap_pct
field,39,0.4642379993900414,0.33637975885092614,0.6069985559124019,1.875,0.375,0.1282051282051282
G1_sum_abs,29,0.6613248694902568,0.4804952918641188,0.7767924913692281,2.5,0.5,0.1724137931034483
G1_abs_signed_sum,29,0.6493346587112825,0.47160637587896553,0.7772863200350699,2.5,0.5,0.1724137931034483
G2_sum_abs,27,0.6515746906207451,0.4825497206032067,0.7745878048794275,2.75,0.55,0.18518518518518517
G2_abs_signed_sum,27,0.6417534469736897,0.47275175673309083,0.7550398476584955,2.625,0.525,0.18518518518518517
