grouping,class,unit,ig_abs,ig_rank,shap_abs,shap_rank
G1,DDoS,icmp,0.0054826460831365,28,0.2006496042013168,1
G1,DDoS,igmp,0.0052072984755038,29,1.074381907528732e-05,25
G1,DDoS,tot_sum,0.0224036397464412,12,0.0196476783603429,11
G1,DDoS,min,0.0291118267472249,11,0.0015137535519897,20
G1,DDoS,max+avg+tot_size,0.1771729684638675,1,0.16931575583294028,2
G1,DDoS,std+var,0.033069485906609096,9,0.0088846394792199,15
G1,DDoS,num,0.0766199555786186,4,0.0588503666222095,7
G1,DoS,proto_num,0.0287396007204532,10,0.0005076450761407,22
G1,DoS,ttl,0.0157155386023904,19,0.0238510128110647,12
G1,DoS,rate+iat,0.1514434622538595,2,0.0841824561357497,3
G1,DoS,header_len,0.0192096600116601,14,0.1768611520528793,2
G1,DoS,fin+fin_cnt,0.0365815360433069,9,0.0521578927582595,6
G1,DoS,syn+syn_cnt,0.039032884661033704,7,0.0818221848458051,4
G1,DoS,rst+rst_cnt,0.041130617390556,6,0.0088705556700005,18
G1,DoS,psh,0.0227694558844599,12,0.0465077981352806,8
G1,DoS,ack+ack_cnt,0.061304140974373804,3,0.042908127149530594,9
G1,DoS,ece,0.0171278054376351,17,8.210958185372874e-06,25
G1,DoS,cwr,0.0158208200083168,18,0.0,27
G1,DoS,http,0.0103849386658052,22,0.0099539281800389,17
G1,DoS,https,0.0107677681406704,21,0.017268668860197,13
G1,DoS,dns,0.0201275417609559,13,0.0062890392728149,19
G1,DoS,telnet,0.0171542426839643,16,7.153946626203833e-06,26
G1,DoS,smtp,0.0131534474271283,20,0.0,27
G1,DoS,ssh,0.0063877255925242,26,0.0007608327432535,21
G1,DoS,irc,0.0059541754818329,28,5.6577300711069256e-05,24
G1,DoS,tcp,0.0073277504616617,24,0.0363758392632007,10
G1,DoS,udp,0.0102204298110581,23,0.0154905375093221,14
G1,DoS,dhcp,0.0063266218904662,27,0.0005017388612031,23
G1,DoS,arp+ipv+llc,0.018444829662981603,15,0.0127149512991309,15
G1,DoS,icmp,0.0065801193771113,25,0.0045639043673872,20
G1,DoS,igmp,0.005705211603473,29,0.0,27
G1,DoS,tot_sum,0.0231845635876652,11,0.0320707708597183,11
G1,DoS,min,0.0375339149979159,8,0.049069482833147,7
G1,DoS,max+avg+tot_size,0.2622625597536569,1,0.0541474735364317,5
G1,DoS,std+var,0.0481705970644523,4,0.0100287878885865,16
G1,DoS,num,0.0414380400486292,5,0.2330232262611389,1
G1,Mirai,proto_num,0.2701503756215763,1,0.0974076986312866,3
G1,Mirai,ttl,0.0369173229672948,6,0.002351801842451,11
G1,Mirai,rate+iat,0.0439567469954051,3,0.0022466771188191003,13
G1,Mirai,header_len,0.0146952305118847,19,0.0091295922175049,6
G1,Mirai,fin+fin_cnt,0.0329233452850512,9,0.0001919933565658787,21
G1,Mirai,syn+syn_cnt,0.0347770257040011,8,0.0012903684323646004,16
G1,Mirai,rst+rst_cnt,0.0372458517501993,5,0.00036024652581542516,18
G1,Mirai,psh,0.0193317541900518,15,0.0022832066752016,12
G1,Mirai,ack+ack_cnt,0.0421973832842326,4,0.0043488777591846,9
G1,Mirai,ece,0.0107759776868554,23,0.0,25
G1,Mirai,cwr,0.0153170538875492,17,0.0,25
G1,Mirai,http,0.0099835803884555,24,0.0017651544185355,14
G1,Mirai,https,0.0119602680009887,20,0.0003039953298866,20
G1,Mirai,dns,0.0207908836496366,14,0.0032117324881255,10
G1,Mirai,telnet,0.0228546975491642,13,0.0,25
G1,Mirai,smtp,0.0150242129691748,18,0.0,25
G1,Mirai,ssh,0.0116613181587327,21,0.0,25
G1,Mirai,irc,0.0098329120456194,26,2.8633787223952822e-05,22
G1,Mirai,tcp,0.007194169272818,29,0.0089832004159688,7
G1,Mirai,udp,0.0080377801201723,28,0.0011107025202363,17
G1,Mirai,dhcp,0.0081214979150995,27,1.2635086932277773e-07,24
G1,Mirai,arp+ipv+llc,0.0257583088899857,12,0.001367725431919,15
G1,Mirai,icmp,0.0109457043131004,22,0.0003444215108174,19
G1,Mirai,igmp,0.0099748665122384,25,9.621814569982234e-06,23
G1,Mirai,tot_sum,0.028264875618821,10,0.5945490002632141,1
G1,Mirai,min,0.0273103905180586,11,0.0753220617771148,4
G1,Mirai,max+avg+tot_size,0.16070568093359108,2,0.1441480740904807,2
G1,Mirai,std+var,0.0358441924081326,7,0.0433419868350029,5
G1,Mirai,num,0.0174465928521071,16,0.0059030652046203,8
G1,Recon,proto_num,0.0301405883929451,14,0.0,26
G1,Recon,ttl,0.043733651681931,10,0.0135810934007167,11
G1,Recon,rate+iat,0.0745124884818707,5,0.0366814685985445,7
G1,Recon,header_len,0.0360214415489132,12,0.0112581886351108,13
G1,Recon,fin+fin_cnt,0.0766065085413863,4,0.043989535421133,5
G1,Recon,syn+syn_cnt,0.10654625284650521,2,0.1357194483280182,3
G1,Recon,rst+rst_cnt,0.052286142089593104,8,0.0746697634458541,4
G1,Recon,psh,0.0451936237497957,9,0.0067231813445687,17
G1,Recon,ack+ack_cnt,0.0929083968365626,3,0.0067787509178742,16
G1,Recon,ece,0.0061186711126941,22,0.0008991223876364,23
G1,Recon,cwr,0.0056970210626291,23,0.0,26
G1,Recon,http,0.0354534881020863,13,0.0339592173695564,9
G1,Recon,https,0.0542774182611476,7,0.0359198562800884,8
G1,Recon,dns,0.02042884468876,16,0.0042322403751313,20
G1,Recon,telnet,0.0070036145424324,21,0.0,26
G1,Recon,smtp,0.0027153272710233,27,0.0,26
G1,Recon,ssh,0.002424677855532,29,0.0076074702665209,15
G1,Recon,irc,0.0027759384403993,26,7.529370486736298e-05,24
G1,Recon,tcp,0.0087333260062722,20,0.0100015038624405,14
G1,Recon,udp,0.0100883387827782,19,0.0038969339802861,21
G1,Recon,dhcp,0.0031800817912254,24,0.0019040080951526,22
G1,Recon,arp+ipv+llc,0.0125566328874437,18,0.0045412248000502,19
G1,Recon,icmp,0.0025775772073414,28,0.0050850943662226,18
G1,Recon,igmp,0.0028205402210082,25,4.949661888531409e-05,25
G1,Recon,tot_sum,0.0255640418828009,15,0.1445137709379196,2
G1,Recon,min,0.0169054612922475,17,0.0122179258614778,12
G1,Recon,max+avg+tot_size,0.11190090318637061,1,0.040761669166386,6
G1,Recon,std+var,0.040651818539008094,11,0.0329077057540416,10
G1,Recon,num,0.0701771826972949,6,0.3320260345935821,1
G1,Spoofing,proto_num,0.0323990247031968,11,0.0001917737972689,23
G1,Spoofing,ttl,0.0473658885708233,7,0.0234305057674646,7
G1,Spoofing,rate+iat,0.0574980298812139,6,0.051537983119487596,4
G1,Spoofing,header_len,0.0236057336537163,12,0.0352908857166767,5
G1,Spoofing,fin+fin_cnt,0.0136125132034562,15,0.0035976398794445,15
G1,Spoofing,syn+syn_cnt,0.0122272891177053,16,0.000663248822093,21
G1,Spoofing,rst+rst_cnt,0.0136283436522811,14,0.0018612422281876,19
G1,Spoofing,psh,0.0393546780137882,10,0.0102875847369432,12
G1,Spoofing,ack+ack_cnt,0.1194823202751054,3,0.006053680379409201,13
G1,Spoofing,ece,0.0063947982032297,22,0.0002682799240574,22
G1,Spoofing,cwr,0.0045458730598576,23,0.0,25
G1,Spoofing,http,0.0066587464579489,21,0.0029339457396417,17
G1,Spoofing,https,0.0632580280387086,5,0.033348474651575,6
G1,Spoofing,dns,0.0418803873740513,9,0.0022804210893809,18
G1,Spoofing,telnet,0.0069820938293813,20,0.0,25
G1,Spoofing,smtp,0.0044081971667292,24,0.0,25
G1,Spoofing,ssh,0.0042612500613274,25,0.0032549551688134,16
G1,Spoofing,irc,0.0030482780278876,28,0.0,25
G1,Spoofing,tcp,0.0079721570352138,19,0.0125042730942368,11
G1,Spoofing,udp,0.0097036324121938,18,0.0155019192025065,8
G1,Spoofing,dhcp,0.0041618714038077,26,0.0001376443105982,24
G1,Spoofing,arp+ipv+llc,0.0121914941617838,17,0.0145820118486881,9
G1,Spoofing,icmp,0.0035676642116866,27,0.0014810669235885,20
G1,Spoofing,igmp,0.0027685067334113,29,0.0,25
G1,Spoofing,tot_sum,0.0151741481337314,13,0.0054648271761834,14
G1,Spoofing,min,0.065775023445357,4,0.280921995639801,2
G1,Spoofing,max+avg+tot_size,0.20383897244290541,1,0.15295919869095082,3
G1,Spoofing,std+var,0.0454729721487676,8,0.0141995996236801,10
G1,Spoofing,num,0.1287620845807318,2,0.3272469639778137,1
G1,Web,proto_num,0.0389189040148029,9,0.0015340553363785,23
G1,Web,ttl,0.0506208335094589,6,0.0436651967465877,5
G1,Web,rate+iat,0.1460100433470881,2,0.18056270852684958,2
G1,Web,header_len,0.0487173753801925,7,0.0263598337769508,9
G1,Web,fin+fin_cnt,0.01961176539179,14,0.004404315695865,21
G1,Web,syn+syn_cnt,0.0213417709648639,11,0.015538455365458488,13
