,Benign,BruteForce,DDoS,DoS,Mirai,Recon,Spoofing,Web
Benign,531,23,0,0,0,83,7,18
BruteForce,51,106,0,0,0,39,2,16
DDoS,0,0,3070,616,1,0,0,0
DoS,0,0,527,1273,0,0,0,0
Mirai,0,0,2,1,1021,0,2,0
Recon,93,23,0,0,0,358,9,44
Spoofing,39,3,0,0,0,9,375,15
Web,37,15,0,0,0,66,10,87
