,Benign,BruteForce,DDoS,DoS,Mirai,Recon,Spoofing,Web
Benign,553,7,0,0,0,78,19,5
BruteForce,64,72,0,0,0,53,13,12
DDoS,0,1,3066,619,1,0,0,0
DoS,0,0,626,1173,1,0,0,0
Mirai,0,0,1,4,1019,0,2,0
Recon,97,4,0,0,0,370,30,26
Spoofing,103,3,0,0,0,32,295,8
Web,54,6,0,0,0,81,26,48
