class,shared_features,spearman_shared_abs_importance,top5_overlap_count,original_num_abs_mean,original_num_rank
Benign,38,0.8198927672611882,4,0.051542949938571,7
BruteForce,38,0.8325856220593063,4,0.0543140419304829,6
DDoS,38,0.5820111609585293,3,0.0624705773710719,3
DoS,38,0.8159536054272897,4,0.0467447408204941,5
Mirai,38,0.5406499617025933,4,0.0222685327309518,11
Recon,38,0.8474669000984789,1,0.071884221987271,2
Spoofing,38,0.908742750848014,1,0.1377283743818241,2
Web,38,0.9052412736623262,3,0.0796721964009094,2
