model,seed,macro_f1,accuracy,weighted_f1,roc_auc
rf,42,0.7222754974344063,0.7819645356976201,0.7801861801045673,0.967724165852486
xgb,42,0.7277749534590465,0.7957302846476901,0.7958617179263638,0.9732680260322788
rf,123,0.7241561404114384,0.7817312179188054,0.7803088096964519,0.9680020200277129
xgb,123,0.7277749534590465,0.7957302846476901,0.7958617179263638,0.9732680260322788
rf,2026,0.7251178273023884,0.7800979934671022,0.7785774661391354,0.9678425464826286
xgb,2026,0.7277749534590465,0.7957302846476901,0.7958617179263638,0.9732680260322788
distilbert,42,0.713888444502498,0.7862809146056929,,
distilbert,123,0.710494668763131,0.7800979934671022,,
distilbert,2026,0.6930979446319905,0.7805646290247317,,
