model,macro_f1_mean,macro_f1_sd,macro_f1_min,macro_f1_max,accuracy_mean,accuracy_sd
distilbert,0.7058270192992065,0.011153539117919026,0.6930979446319905,0.713888444502498,0.7823145123658423,0.003442919870129156
rf,0.7238498217160777,0.0014457119792515413,0.7222754974344063,0.7251178273023884,0.7812645823611759,0.001017008619584851
xgb,0.7277749534590465,0.0,0.7277749534590465,0.7277749534590465,0.7957302846476901,0.0
