epoch,train_loss,val_macro_f1_fp32,epoch_time_s
1,1.0569896185576027,0.5423258602347458,1954.0150010420184
2,0.5595318694612873,0.5867643248012773,3525.5153160000045
3,0.5098587719362173,0.6399691856248095,3715.0554794580094
4,0.4848943454116138,0.6590837681393127,2258.6083589580085
5,0.4653200975104944,0.6635534089908126,2218.6058599999815
6,0.4482510694816931,0.6782507573291848,2184.698097124987
7,0.4299260836928638,0.6910365771494147,2009.794885249983
8,0.411274559818097,0.6781753555579153,1999.2342181249987
9,0.39191420825559703,0.6957215695991179,1991.071213209012
10,0.3748877681902985,0.697805106722591,1988.4694828749925
11,0.3551801311435984,0.6942442784218721,1979.9614972920099
12,0.3393197586287313,0.696644644738404,1971.5324349580042
13,0.32512758169601214,0.6940339159041566,1951.550717791979
14,0.31145668599142956,0.6945068157541012,1934.6334458329948
