class,feature,signed_mean,abs_mean,rank
Benign,ttl,0.09651481920713012,0.10638718560894596,1
Benign,https,0.09439653284495936,0.09448137048254139,2
Benign,proto_num,0.07309243572386318,0.08869055581572276,3
Benign,ack_cnt,0.0747656307431256,0.0747656307431256,4
Benign,ack,0.06666172205535897,0.06685527289040621,5
Benign,rate,0.05277543632732485,0.06139340360963544,6
Benign,num,0.05734771596520367,0.05734771596520367,7
Benign,dns,0.05331853099325877,0.05351074390005974,8
Benign,psh,0.04443801708990045,0.046332999650322074,9
Benign,tot_size,0.031161608826450825,0.03719861644810633,10
Benign,max,0.01851646435198843,0.0371017451771318,11
Benign,header_len,0.023810853567347117,0.02684808915501521,12
Benign,avg,0.01822725695140467,0.025367826492078235,13
Benign,var,0.004490189374891498,0.02318519322777109,14
Benign,iat,0.013003629887141937,0.02227540176207664,15
Benign,std,0.015606129862781985,0.020228567030036542,16
Benign,tot_sum,0.0030699164827594164,0.015643113268183743,17
Benign,min,0.008197962937606754,0.014737040060378273,18
Benign,tcp,0.010257596445687378,0.013509733692220225,19
Benign,syn_cnt,-0.004918160719541473,0.00967711287915043,20
Benign,fin,-0.0007438865151661059,0.009532872421280435,21
Benign,ece,0.004595804678729384,0.00945889047463908,22
Benign,udp,0.006103581818023161,0.00854523916066355,23
Benign,http,0.005390009914169367,0.007537678408700736,24
Benign,rst,-0.003401244078919919,0.007388199901392636,25
Benign,syn,0.0008377540996769552,0.006820275656756079,26
Benign,telnet,0.0015021410760819914,0.005937578263271092,27
Benign,rst_cnt,0.00020190964475601595,0.005917616098387837,28
Benign,fin_cnt,-0.00010764876545647054,0.005823360822035552,29
Benign,llc,0.0002992060716141259,0.0053756917953064615,30
Benign,ipv,0.002246418318725727,0.005099849476229549,31
Benign,smtp,-0.002644727727145674,0.004723296651100934,32
Benign,cwr,0.0003368108321841862,0.004546637044182899,33
Benign,arp,-0.0002765041590434889,0.003602313701330066,34
Benign,irc,-0.0007190586172741764,0.0033136368684659706,35
Benign,ssh,-0.0012325911896386504,0.0029598969565986194,36
Benign,dhcp,4.0757609138841774e-05,0.0028542300792804725,37
Benign,igmp,-0.0011561282974232663,0.0025993983418650234,38
Benign,icmp,0.0007471772064652939,0.002426020020401679,39
BruteForce,max,0.08914366631514328,0.09028303547022934,1
BruteForce,ack_cnt,0.07036583155586203,0.07067806688605574,2
BruteForce,avg,0.05728336013744986,0.06275690090544735,3
BruteForce,irc,0.05817187279359873,0.05845083616924161,4
BruteForce,num,0.05597998525073069,0.05597998525073069,5
BruteForce,rate,0.0508543934571942,0.054298729242538056,6
BruteForce,ssh,0.052754575513435514,0.052810255825297886,7
BruteForce,tot_size,0.04018784112755308,0.04490844633081915,8
BruteForce,ttl,0.030294532129994983,0.040046672588134304,9
BruteForce,std,0.03111728470671929,0.03602482783600501,10
BruteForce,header_len,0.034263733663023085,0.035462921087479116,11
BruteForce,tot_sum,0.03305071179829172,0.03501713776473871,12
BruteForce,psh,0.021579866928266574,0.031612886385524466,13
BruteForce,var,0.025599155091117053,0.030900965076728005,14
BruteForce,https,0.022712954335416556,0.030772100948105424,15
BruteForce,ack,-0.016750355236979167,0.028727994994788182,16
BruteForce,proto_num,-0.0017853485556694386,0.01979380591560667,17
BruteForce,min,0.014540073876504474,0.019272423237502084,18
BruteForce,iat,0.0099238835354979,0.018337292791669055,19
BruteForce,syn,0.010342545960866761,0.016800234631395593,20
