model,class,precision,recall,f1,support
distilbert,Benign,0.7099236641221374,0.702416918429003,0.7061503416856492,662.0
distilbert,BruteForce,0.46445497630331756,0.45794392523364486,0.4611764705882353,214.0
distilbert,DDoS,0.8306127910088306,0.8418768646596149,0.8362068965517241,3687.0
distilbert,DoS,0.6674285714285715,0.6488888888888888,0.6580281690140845,1800.0
distilbert,Mirai,0.9931906614785992,0.9951267056530214,0.994157740993184,1026.0
distilbert,Recon,0.6024955436720143,0.6413662239089184,0.6213235294117647,527.0
distilbert,Spoofing,0.8929440389294404,0.8321995464852607,0.8615023474178404,441.0
distilbert,Web,0.3607305936073059,0.3674418604651163,0.3640552995391705,215.0
distilbert,_accuracy,,,0.7746150256649557,
distilbert,_macro_avg,0.6902226050687771,0.6859076167154335,0.6878250994002066,
distilbert,_weighted_avg,0.7747407592842277,0.7746150256649557,0.7745387995315605,
distilbert,_roc_auc_macro_ovr,,,0.9679608352545427,
distilbert,_train_time_s,,,31153.28142379102,
distilbert,_diagnostic_infer_ms_per_sample,,,13.572915514588683,
distilbert,_diagnostic_infer_ms_per_sample_bs1,,,14.410658330016304,
distilbert,_model_size_mb,,,268.563831,
