epoch,train_loss,val_macro_f1_fp32,epoch_time_s
1,1.066065090805737,0.5291548832657802,2135.2270515410346
2,0.5648175595411614,0.576476800453953,2283.6966808330035
3,0.5099834840689133,0.6467800995022188,2298.2407637500437
4,0.4836639404296875,0.6607919687811521,2004.5181365410099
5,0.46366873214493937,0.6640947007603952,2016.0974810000043
6,0.44518022679570896,0.6819106729282555,2033.6317096250132
7,0.4260333160855877,0.6854483390322867,2020.0890678330325
8,0.40926536446187034,0.6788247114824898,2033.0169662089902
9,0.3902541886514692,0.6884499100069514,2033.7094460829976
10,0.37283327472743705,0.6943553978705312,2044.3663240830065
11,0.3552397087438783,0.693460874111363,2041.3876226670109
12,0.33757706827192163,0.6975377522626149,2062.630975542008
13,0.3239229800096199,0.6952096818770117,2051.967606624996
14,0.3130672170155084,0.691177145254811,2052.3291848340305
15,0.3043444733121502,0.6946872523883938,2035.0261146249832
