class,feature,signed_mean,abs_mean,rank
Benign,https,0.10782650712043142,0.10810695936597856,1
Benign,ttl,0.09752374195074619,0.10788609746454624,2
Benign,proto_num,0.06519484699455894,0.08308053441697377,3
Benign,ack_cnt,0.07594372753760696,0.07594372753760696,4
Benign,rate,0.05731775961774811,0.06921940228705743,5
Benign,ack,0.05517185680690825,0.055364731647543526,6
Benign,num,0.05154294993857104,0.05154294993857104,7
Benign,dns,0.04921255096645413,0.05023005197284479,8
Benign,psh,0.04637522661037582,0.0497584898283022,9
Benign,tot_size,0.033937742907082395,0.037671857982245795,10
Benign,max,0.018465069783579657,0.034242756913186595,11
Benign,header_len,0.0285726734473019,0.034132628827260945,12
Benign,iat,0.01582289856812449,0.029941671684611804,13
Benign,avg,0.0177930853493334,0.023248558641199808,14
Benign,var,-0.004703452866098861,0.022104067875708143,15
Benign,std,0.01642412664566239,0.019563419552270884,16
Benign,tcp,0.013086871065998568,0.01527799474149765,17
Benign,tot_sum,0.005554283022489105,0.014917077318925316,18
Benign,min,0.005715539594867637,0.01278794414705698,19
Benign,syn_cnt,-0.007989050986989056,0.010304017748325255,20
Benign,fin,-0.0012211500457328117,0.009248692350089299,21
Benign,udp,0.006700910933939038,0.00872625786676266,22
Benign,ece,0.0020463657491855973,0.007289114849041639,23
Benign,rst,-0.003924360381038298,0.006819759459971929,24
Benign,http,0.005499178020293482,0.006814752633535116,25
Benign,syn,0.0031444333219800597,0.006773319167358721,26
Benign,telnet,0.003060156355161134,0.006097316899620498,27
Benign,rst_cnt,0.0025572494740218068,0.005919519084158195,28
Benign,ipv,0.001906905440917936,0.004927729228827854,29
Benign,llc,-0.000547771512656186,0.004710147995064082,30
Benign,fin_cnt,0.0005433443875085626,0.004275578594918768,31
Benign,arp,7.259615750228638e-05,0.003724712487885774,32
Benign,smtp,-0.001710309502677836,0.0035606737309686826,33
Benign,cwr,-0.0010130905013487257,0.0034208626226453678,34
Benign,dhcp,0.00029571439634783355,0.0029354432517026308,35
Benign,icmp,0.0010257621449931975,0.0027406643974193148,36
Benign,irc,-0.00021152914245459788,0.0022440154979614896,37
Benign,ssh,-0.0005630308369157441,0.0022417368288633307,38
Benign,igmp,-0.0008334531455267876,0.0022047631614909207,39
BruteForce,max,0.08294362747787389,0.08470964966825728,1
BruteForce,irc,0.07475224577156574,0.07485331642903263,2
BruteForce,ack_cnt,0.07239198718188616,0.07239198718188616,3
BruteForce,ssh,0.06250635765644169,0.06265759342609209,4
BruteForce,avg,0.05425127512222723,0.05820403413054994,5
BruteForce,num,0.05431404193048299,0.05431404193048299,6
BruteForce,rate,0.04653021288731876,0.05041800813106061,7
BruteForce,tot_size,0.04496998792932415,0.04613831069578232,8
BruteForce,ttl,0.028680516534685122,0.03757758906226362,9
BruteForce,std,0.030751399759904503,0.03729815333873567,10
BruteForce,header_len,0.03444093109546759,0.03509175650371967,11
BruteForce,var,0.029376591822947353,0.03395652040210032,12
BruteForce,tot_sum,0.030318419196257322,0.03278776417069697,13
BruteForce,psh,0.02103216836791929,0.03221609408801311,14
BruteForce,https,0.023590857420095347,0.028274801689139803,15
BruteForce,ack,-0.01588058249672662,0.02746122546451198,16
BruteForce,min,0.013260557370874584,0.01968516969176848,17
BruteForce,proto_num,-0.001821132254392833,0.018174388031831152,18
BruteForce,iat,0.011150850377496463,0.018113170388886657,19
BruteForce,fin,0.014559852339982788,0.016022654914595966,20
BruteForce,syn_cnt,-0.0011523585019522643,0.015941068093848366,21
BruteForce,syn,0.0089832978525278,0.015437021376619427,22
BruteForce,udp,0.014275902934696192,0.015148431307397292,23
BruteForce,tcp,0.006218207326116403,0.01471843698567544,24
BruteForce,dns,-0.01332223503704537,0.01419109764596574,25
BruteForce,fin_cnt,0.006548280955035796,0.01135947689880226,26
BruteForce,ipv,0.006556248666782102,0.008980935827657075,27
BruteForce,rst_cnt,0.0007997341329893505,0.008731659548793302,28
BruteForce,llc,0.006950371247736491,0.008611626497844598,29
BruteForce,ece,0.0006720744608586296,0.008213355913014914,30
BruteForce,rst,0.0008556183644322502,0.006717726904110973,31
BruteForce,telnet,0.004874681859756693,0.005478192557051629,32
BruteForce,cwr,-0.003598185121821079,0.004695227823489654,33
BruteForce,arp,0.003700292214785587,0.00432242908637452,34
BruteForce,icmp,0.001998072544533159,0.0038894116749922437,35
BruteForce,http,0.001473081683242429,0.0035995959011121633,36
BruteForce,smtp,0.0016470631207413794,0.003288225273687142,37
BruteForce,igmp,-0.0012033050720754877,0.0031662299161378843,38
BruteForce,dhcp,0.0024777232975440344,0.0031636214280179546,39
DDoS,proto_num,0.13411710563382043,0.13411710563382043,1
DDoS,tot_size,0.09556216060770227,0.09556216060770227,2
DDoS,num,0.06247057737107191,0.06247057737107191,3
DDoS,ack_cnt,0.05209954314442444,0.054449063779599856,4
DDoS,psh,0.05052053183842794,0.050577123677923594,5
DDoS,avg,0.04514513197906917,0.04962780598242436,6
DDoS,iat,0.017109609904089162,0.047791399426557794,7
DDoS,max,0.03785700942418091,0.04284238558763886,8
DDoS,min,0.03228963602739407,0.03228963602739407,9
DDoS,syn_cnt,0.03007096585100945,0.03154735880393879,10
DDoS,rate,0.015265364404262778,0.03080021719240742,11
DDoS,ack,0.026066000421199314,0.02633396735277456,12
DDoS,tot_sum,0.019166000700351144,0.023908760370830697,13
DDoS,fin_cnt,0.02179523580936092,0.02288664768064338,14
DDoS,fin,0.02081197971434098,0.02187776553939387,15
DDoS,https,0.018199418214941254,0.02147644681603098,16
DDoS,dns,0.020581499078672325,0.02125582875870815,17
DDoS,var,0.016873678981228348,0.019789626356028774,18
DDoS,syn,0.017380204074060122,0.017380204074060122,19
DDoS,ece,0.013863701284861845,0.015581874540532649,20
DDoS,rst,0.015111765809168154,0.015232969512041684,21
DDoS,rst_cnt,0.013451758091844714,0.014413118857059686,22
DDoS,ttl,0.010256991397230984,0.014346759019777808,23
DDoS,std,0.012113190857913373,0.014029043143868512,24
DDoS,cwr,0.012438410675348137,0.012466964289073162,25
DDoS,header_len,0.010763040642644448,0.011735995408933707,26
DDoS,telnet,0.011287617812128777,0.011556442278057822,27
DDoS,tcp,0.010662932350985563,0.010690192678084316,28
DDoS,ssh,0.009848008715363569,0.010113956451336273,29
DDoS,irc,0.008591122165821882,0.008711658384467098,30
DDoS,udp,0.007404692737110952,0.008277192652317753,31
DDoS,smtp,0.00752799005421489,0.007801966312959792,32
DDoS,dhcp,0.007778505574241918,0.007787439137594787,33
DDoS,http,0.006980658513464049,0.007036649085417425,34
DDoS,arp,0.0053882999338967915,0.005550112244914436,35
DDoS,igmp,0.005442099000478877,0.005476394098129425,36
DDoS,icmp,0.005277740007569578,0.0053005738843522245,37
DDoS,ipv,0.0029984341755398287,0.0038142714551828816,38
DDoS,llc,0.0026630832631935717,0.003092345526948666,39
DoS,iat,0.10118380395894354,0.10129761368169783,1
DoS,tot_size,0.09860884062383762,0.10104688347782362,2
DoS,avg,0.07603764819923449,0.08025010743543096,3
DoS,max,0.06422451924901303,0.06678527365507073,4
DoS,num,0.04674474082049411,0.04674474082049411,5
DoS,rate,0.04190748840813913,0.04393527874428723,6
DoS,min,0.036494579414628116,0.03667186650453371,7
DoS,ack_cnt,0.03410037948660711,0.035538159235727784,8
DoS,syn_cnt,0.02640933553329238,0.02904752177272585,9
DoS,proto_num,0.02698471002677114,0.028105467430534558,10
DoS,rst_cnt,0.02762914761520653,0.02762914761520653,11
DoS,std,0.02537985906389194,0.027219412746351736,12
DoS,ack,0.025817656151227577,0.025817656151227577,13
DoS,psh,0.024259536556567148,0.024259536556567148,14
DoS,var,0.022722320318204387,0.023635719003548085,15
DoS,fin_cnt,0.021842295638617882,0.021842295638617882,16
DoS,header_len,0.020819321587984788,0.021403342762048534,17
