epoch,train_loss,val_macro_f1_fp32,epoch_time_s
1,1.035498046875,0.5075866481693412,2839.9121070830006
2,0.5595697659165112,0.5886468961857108,2178.9868945410053
3,0.5049943155317164,0.6384093480841606,1939.7776127499965
4,0.4752707865700793,0.6646727223872926,2033.6768879579977
5,0.45388288355585354,0.6929196746317097,2638.264986833994
6,0.43393390712453356,0.7073106457654287,2836.2917895829887
7,0.416944725833722,0.713764125196644,2292.8362938749924
8,0.3994331473734841,0.7176743371517155,2198.1203555839893
9,0.3834181600542211,0.7075394123349614,2321.158831749999
10,0.3663874611925723,0.7173689526512813,2334.265203666
11,0.3470261075603428,0.7045659428746778,2315.449383708008
12,0.33037391776469216,0.7084560845072418,2336.0144350839983
