model,class,precision,recall,f1,support
distilbert,Benign,0.7266187050359713,0.7628398791540786,0.7442888725128961,662.0
distilbert,BruteForce,0.728,0.4252336448598131,0.5368731563421829,214.0
distilbert,DDoS,0.8290688472698496,0.8524545701112015,0.8405990906659535,3687.0
distilbert,DoS,0.6786133960047004,0.6416666666666667,0.6596230725299829,1800.0
distilbert,Mirai,1.0,0.9941520467836257,0.9970674486803519,1026.0
distilbert,Recon,0.6148648648648649,0.6907020872865275,0.6505808757819481,527.0
distilbert,Spoofing,0.92,0.8344671201814059,0.8751486325802615,441.0
distilbert,Web,0.3805668016194332,0.4372093023255814,0.4069264069264069,215.0
distilbert,_accuracy,,,0.7862809146056929,
distilbert,_macro_avg,0.7347165768493524,0.7048406646711125,0.713888444502498,
distilbert,_weighted_avg,0.787759003914859,0.7862809146056929,0.7855223419552384,
distilbert,_roc_auc_macro_ovr,,,0.9709807416413128,
distilbert,_train_time_s,,,28268.309018124994,
distilbert,_diagnostic_infer_ms_per_sample,,,14.420804980400508,
distilbert,_diagnostic_infer_ms_per_sample_bs1,,,20.277719584992155,
distilbert,_model_size_mb,,,268.563831,
