,Benign,BruteForce,DDoS,DoS,Mirai,Recon,Spoofing,Web
Benign,505,12,0,0,0,100,10,35
BruteForce,37,91,0,0,0,48,4,34
DDoS,0,0,3143,544,0,0,0,0
DoS,0,0,645,1155,0,0,0,0
Mirai,0,0,3,2,1020,0,0,1
Recon,79,9,0,0,0,364,10,65
Spoofing,36,5,0,0,0,14,368,18
Web,38,8,0,1,0,66,8,94
