model,class,precision,recall,f1,support
distilbert,Benign,0.6891334250343879,0.756797583081571,0.7213822894168467,662.0
distilbert,BruteForce,0.5333333333333333,0.5233644859813084,0.5283018867924528,214.0
distilbert,DDoS,0.8472222222222222,0.8272308109574179,0.8371071771648141,3687.0
distilbert,DoS,0.6638343069569835,0.6944444444444444,0.678794461037198,1800.0
distilbert,Mirai,0.99609375,0.9941520467836257,0.9951219512195122,1026.0
distilbert,Recon,0.6885245901639344,0.5578747628083491,0.6163522012578616,527.0
distilbert,Spoofing,0.9278350515463918,0.8163265306122449,0.8685162846803377,441.0
distilbert,Web,0.3354632587859425,0.4883720930232558,0.3977272727272727,215.0
distilbert,_accuracy,,,0.780681287914139,
distilbert,_macro_avg,0.7101799922553995,0.7073203447115272,0.705412940537037,
distilbert,_weighted_avg,0.7880417932162077,0.780681287914139,0.783153948744245,
distilbert,_roc_auc_macro_ovr,,,0.9704544276961995,
distilbert,_train_time_s,,,31588.65035070904,
distilbert,_diagnostic_infer_ms_per_sample,,,13.495059933501615,
distilbert,_diagnostic_infer_ms_per_sample_bs1,,,13.428027080080938,
distilbert,_model_size_mb,,,268.563831,
