epoch,train_loss,val_macro_f1_fp32,epoch_time_s
1,1.0196857509328359,0.546960952316511,2173.7897207500064
2,0.5593918529909049,0.5811491417720245,2793.8683815409895
3,0.5041119020376632,0.6576312924470524,4481.24726783298
4,0.47597105111648785,0.6720690737579926,3227.823050749954
5,0.45615648867479014,0.6908385097344635,3109.5950453330297
6,0.436752638176306,0.7039560321267637,2690.518532624992
7,0.4182063316231343,0.7185201396052869,2685.2461599169765
8,0.401247850104944,0.7068394128839206,2731.9223390829866
9,0.3844215962424207,0.710809541268224,2835.789972583996
10,0.36675975287138524,0.7087823854267298,2464.5015361660044
11,0.3498301719551656,0.7105904628365426,2390.1601740419865
